Address,Locked Celo Balance,Snapshot Date
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,16897035973699509988451805,2023-04-15 12-00
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16735767524842548383937026,2023-04-15 12-00
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,15503905106592784199049587,2023-04-15 12-00
0x7034589832c20dad66533f53319009bbcf34e45f,15197053724873014812458224,2023-04-15 12-00
0xef283eca68de87e051d427b4be152a7403110647,12324171795825011586334830,2023-04-15 12-00
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,12138261124880503850396533,2023-04-15 12-00
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,10803091481366466455490794,2023-04-15 12-00
0x282f95ada81610be70d7e1e8557f96866404a632,10706482660168278080678752,2023-04-15 12-00
0xd136f21f87c7d36cc0b488fb9b21d14fa86d27dc,9441467081472891939319758,2023-04-15 12-00
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,9317050307592986772920419,2023-04-15 12-00
0xb234e017ad9e29687474196a93d5c7df24415902,9111709826324963615836497,2023-04-15 12-00
0x7ae2f01ab6b6681148b50248d0b99a6abc5a09d5,8657977084229204786219105,2023-04-15 12-00
0xbdaccf951c8a219fc69ce8f171a61a3ddaefeb39,8604791250197553686825524,2023-04-15 12-00
0xef268b5c05452d63a17da12f562368e88a036ef1,8017631098467720805398676,2023-04-15 12-00
0x989e1a3b344a43911e02ccc609d469fbc15ab1f1,7487060561316954101944016,2023-04-15 12-00
0xf8ed78a113cd2a34df451ba3d540ffae66829aa0,7088338516988522683375073,2023-04-15 12-00
0x489dca840aa686cf055c342c165e9358889840de,6727420527966960385263644,2023-04-15 12-00
0x5c80858a7a1a730ef6e5d1408f4aed1d5512b080,6312969741558096336887572,2023-04-15 12-00
0x1dec9eae55fe9348bc195a57df03f1cd51fe13d1,5259424307513306107766678,2023-04-15 12-00
0x62af3bbfbc1c0e4bcb846962ae41c5e959383b67,4798538682874978975569799,2023-04-15 12-00
0xd22eb6784c69d69275e081283f49c9f46c4b86ea,3947227849568904340788482,2023-04-15 12-00
0x244d46d45050e451d0e759b1cfd0b2c08818ca38,3404427650348460145105647,2023-04-15 12-00
0x70c657b8fe399e20899789321e3be8413cd71987,2294682473444105760613712,2023-04-15 12-00
0x4f369ee454c77ccf765792382b909ed888c57a47,2028597801546313829321144,2023-04-15 12-00
0x1901e33fc0c9da7515d98d0cc152b6f40565189f,1897474831165011280340156,2023-04-15 12-00
0x1c810f2aa829c874974ec449a965c6e5dbb301b8,1640193350980612078599909,2023-04-15 12-00
0x7dc2f3edebfb21e7a784ef8954b66fbcd9dee407,1599998372769736558068097,2023-04-15 12-00
0x41692e7f519764558325185db73f44d4e37a606d,1496390019567467106389721,2023-04-15 12-00
0x9033ff75af27222c8f36a148800c7331581933f3,1272679377307686135713630,2023-04-15 12-00
0x4aad04d41fd7fd495503731c5a2579e19054c432,1243027577337103228594308,2023-04-15 12-00
0x6d43609bf7c7b1b0e1f29d6b1922e23d3a37ec39,1195907653525738840065496,2023-04-15 12-00
0xaae9f9850a2f742fada295cb5816463fa59e8f5a,1168079458663703598339551,2023-04-15 12-00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1149042498358725316376165,2023-04-15 12-00
0x2f0d3b6bbfb7affbfbe206259578a8f3c24d1df5,1110983122796813248737642,2023-04-15 12-00
0x2d0078cbf9026856ea5a0fc54dd78e10da83c633,1097143705042243271971486,2023-04-15 12-00
0xa21112df21627887d6c19fe604c6b1ca1617ed5b,1094927876053067746433220,2023-04-15 12-00
0xd7aec34bef3596da90cf400b9fbb3521b23c6e16,1094562366739096469491059,2023-04-15 12-00
0x2268c440b7557a7d199976835daee17b4a59a597,1094429191028415019076423,2023-04-15 12-00
0x3c9e737a5c8196a9a2195497f47c460896d8d969,1094314359372990526889013,2023-04-15 12-00
0x28a62d2f5f319eae85421d2c783620f00eaa792e,1094219899032758329760470,2023-04-15 12-00
0xe570bee58d7a53a30f21a747d6e7ce0f85b38ac8,1094204335501862467957632,2023-04-15 12-00
0x0f4c32ebfd5ab18c28f17a2242d80f50e5f33b0d,1094110937404566686880739,2023-04-15 12-00
0x151d81ae1709e52a0356138e221a0bc60b283114,1093423894985345568638581,2023-04-15 12-00
0xebe9c48d7fe2238c8dcb44472accbe63380a9ae4,1089474577804161519479481,2023-04-15 12-00
0xf00eb5e591dd4f23df2ce92ab3ef0948281bb67d,1057269037798147206631546,2023-04-15 12-00
0xdcce2b585f3d15bc31925566121108dcfe819e48,1020348301564309435477377,2023-04-15 12-00
0xd10a18a25f6d3ab1d1ab6de4a5684eca500f7322,1000499897637150000000000,2023-04-15 12-00
0x70a9f34b9c6e94cbb3eacdf262cee0831f10a78b,962225551848035649100515,2023-04-15 12-00
0x99fd11191c8de6e6f90935a848d6003007dbaf7a,934463106404066693561458,2023-04-15 12-00
0xdae1391ba9a9b67e6fe2c25f358c4ca3b3ffed93,933962014062324743130422,2023-04-15 12-00
0x893745c8970007f87f27b2a874c6e984437a83de,821796878619202619527330,2023-04-15 12-00
0x0ed27270c4914877bf2a6cb3abf4ca493117acb8,808231067221777832299748,2023-04-15 12-00
0xe3ebdd53c52d0619db96554bc51110d828228b4d,795921975370784966818792,2023-04-15 12-00
0x613629cdf3cef733016c7801eae9ccb5da652645,734336756094045568952140,2023-04-15 12-00
0x4385bf4e4ae27700c4a055836e1f16e9a2a81176,689295175059635158185923,2023-04-15 12-00
0x3dbd15c29bcde617df3c4611b8c127108e5a667a,685895728802182147675411,2023-04-15 12-00
0x19049ceb58d5d0ca360fb5f6c46e9ee43b6accd3,649189775150282215366061,2023-04-15 12-00
0x0a4dfffc51a8f8588e59c51fee29df42d2364bda,616535373110948916548260,2023-04-15 12-00
0xa22089ea702269b5bc4b49ab404df9532741a922,614948295439188573489295,2023-04-15 12-00
0xf62c998253dd5d75bd7fc4311d8df21ab15c70d5,595226847789796537011567,2023-04-15 12-00
0xcb063993fcb57986763166c56b9501e21327f6ce,573263777847866795557660,2023-04-15 12-00
0xa94d1fca8c5583396601dbb02d12615e6f4859bd,572568286195255880317956,2023-04-15 12-00
0xc47d659610c84d20786de89236fff261d6d69e85,567370670755893862487220,2023-04-15 12-00
0x4f49794a4fd42bab26a1740ca9c48022dd5ee21f,525531130866747860370732,2023-04-15 12-00
0x3f85428dccc693155e3fafacff3e66a59f6f9a5a,519136859698729082279311,2023-04-15 12-00
0xb411767ba120e06c2b6c3441e1fbbba82ef3cad4,505874169535451737982150,2023-04-15 12-00
0x43720c8db4c2e4ca7fa4f5709af36988bc1482ec,483199639514397127337394,2023-04-15 12-00
0x72e332dac7abea59bf1f9e5fda58151a506cb978,459246674056006854837527,2023-04-15 12-00
0x5dfe79c1aa3046d92f1d208677d9a862903e7c65,420611884765100496172022,2023-04-15 12-00
0xc86b2257a32dd69c1d45f273c6424ce3015601b1,419458652018290718816760,2023-04-15 12-00
0x67f09c27016f87ce5737782a684da673b526d12e,413088009410088611168874,2023-04-15 12-00
0xe2b40fa787ba180a1b79d6c1343cc9403b7adbb7,412980404173411865005527,2023-04-15 12-00
0xeecd433a5c357fb25a81b688d5fcec1bec09fa7c,405116332034082952152750,2023-04-15 12-00
0x9ad2afcf9f7d4625880a415cafb179b05e940579,397669033566324491601615,2023-04-15 12-00
0x5cc339aca35dbe1b19229f4acf906b6a25742693,365322360259219432032624,2023-04-15 12-00
0xff823e033adb6dd120333ced6c0e846d700e548a,357270812833513721388598,2023-04-15 12-00
0x65da263720ec6819ea84302161b571a7281710e5,351228256771085644360253,2023-04-15 12-00
0x9605fbd9c8fbf7344485d38320a05cc392d5761e,338430663860087182721290,2023-04-15 12-00
0xc4e6c30e31fbe825bed5d0f03a4612badd743fb8,316086789144902678155050,2023-04-15 12-00
0x402be96c77f4605955a35e6b9f366561f71db33e,315530713151332711820602,2023-04-15 12-00
0x5e05eb41bb50f613bd16eb22e8bccbefe229fc64,314134884172238067552026,2023-04-15 12-00
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,308354408347174324411201,2023-04-15 12-00
0x893c0ff5597c1ceb04e4fa957fba1309cbb3ba25,308157037684576259223042,2023-04-15 12-00
0xb79b6d58efe477e56811da37141ba3186ac64dfa,306184930788919672972997,2023-04-15 12-00
0x52e6bd876ae54313f81f1a21ec53dc2a18e6fbf9,305594052826792867774475,2023-04-15 12-00
0x295b0561dd8dc696eaeeb1b5d16ae29c0184b490,300033938818666717335929,2023-04-15 12-00
0x197203da685e65201c0b590c34d0b92946863fbf,292365272980766382588952,2023-04-15 12-00
0xad60ae22da620346668b5a3e4acaf9041da2da1b,287118100537526380358697,2023-04-15 12-00
0x404ffc1183e4bd64593213d29d201e2a9fa12f2c,284959110824445896292932,2023-04-15 12-00
0x7e400c912c9f19ddbb81903881ec8c17734dff42,268101865267116941843987,2023-04-15 12-00
0xddccf2341e4503af58788e7f71f82f69a0c65402,262765565433373930185366,2023-04-15 12-00
0x89754202d38684811826124e558c70b674ef3014,257783747407261995057933,2023-04-15 12-00
0x0c8615aba223094d2de13204a2784d6bc277def6,254402160114130520500570,2023-04-15 12-00
0x119f742071d279a0daad1c496db1b502bb0436c7,250794366065057464243216,2023-04-15 12-00
0x70f926b869cc07f4b06951062de3bf1766aab3cb,238925341607366363844049,2023-04-15 12-00
0x0d630ca9f913bf2aca031fda3376f670d73cf283,238298144994950009953656,2023-04-15 12-00
0xc06e78dcc04190e78cc4898234a7c84880ca0da8,227661393607482453579254,2023-04-15 12-00
0x9e6db6895535f70f6966e8bce37a0a3e20df0294,227609000000000000000000,2023-04-15 12-00
0x8223a32ed93cf9c89ccdb159c13c8fb485a61665,227547101048034986547076,2023-04-15 12-00
0x12f171272d878958c13c6f5040e68f662c3047c0,225248464490602976384342,2023-04-15 12-00
0x26f5ce98b6e6515e943b53020857ac617662740e,220130513980353658987307,2023-04-15 12-00
0xc883f1d13bd8ccad5a3c95bdcf1f69ea9452a26f,213843735700891006514705,2023-04-15 12-00
0x49848b562143d5c7f887220ed0cdcbbd496e6a81,207839409518240482730660,2023-04-15 12-00
0x5f2b5b9736dde361f53338ede72ab9ff822a22db,207350186345945999259331,2023-04-15 12-00
0xd09e6f00039bd88f5794b9dfab61f4cc205f627d,203191492051831820597206,2023-04-15 12-00
0x1576aada4eb0a43a0cac6da3987b837b93a70bd2,199301224500000016302080,2023-04-15 12-00
0xd4e0e9a2c11741ae6711effa53a82bf3d84c4748,194561164312456175341985,2023-04-15 12-00
0x0222bffd588171faf8ec3f13267581ebdd56b41b,180407005526076303560997,2023-04-15 12-00
0x14d2fe88de6520d5ea5c9c827d347e39ecf1117e,173117622405063970807966,2023-04-15 12-00
0x2879bfd5e7c4ef331384e908aaa3bd3014b703fa,156741213304639850231924,2023-04-15 12-00
