Address,stCELO Balance,stCELO in USD (approximate),Contract,Snapshot Time
<a href=https://celoscan.io/address/0x8a1639098644a229d08f441ea45a63ae050ee018 target=_blank>0x8a1639098644a229d08f441ea45a63ae050ee018</a>,527141.2530670987,310546.2921593708,yes (but no data on dune),2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0x08bafb4400a102dddc5e5d584abf0aa38e174c57 target=_blank>0x08bafb4400a102dddc5e5d584abf0aa38e174c57</a>,129682.18205266085,76397.58899777125,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0x9176779f5617db41cc11aef0d46e2113b682b55c target=_blank>0x9176779f5617db41cc11aef0d46e2113b682b55c</a>,92130.00038052925,54275.073044175115,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0xdc5762753043327d74e0a538199c1488fc1f44cf target=_blank>0xdc5762753043327d74e0a538199c1488fc1f44cf</a>,64963.40213753721,38270.8496868531,RebasedStakedCelo,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0x7c9b206accb51f8d809d904f439bfaaaeb904f2a target=_blank>0x7c9b206accb51f8d809d904f439bfaaaeb904f2a</a>,64499.24299342812,37997.40703683042,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb target=_blank>0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb</a>,58008.79471358094,34173.79308889652,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75 target=_blank>0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75</a>,34951.117428822174,20590.192592963147,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0x46c5cfc2079309f4e7d9476a01730a60e2f1a164 target=_blank>0x46c5cfc2079309f4e7d9476a01730a60e2f1a164</a>,34753.33693247457,20473.677333637825,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0xd28c7edf73e247dcbb324f3d467e27ecd302d9de target=_blank>0xd28c7edf73e247dcbb324f3d467e27ecd302d9de</a>,34131.59022528153,20107.397643976503,,2023-12-15 12:00:00.000
<a href=https://celoscan.io/address/0x633a81cc3da1c3d627256c289026549828c4b174 target=_blank>0x633a81cc3da1c3d627256c289026549828c4b174</a>,26766.428778921418,15768.477923665512,,2023-12-15 12:00:00.000
