Address,stCELO Balance,stCELO in USD (approximate),Contract,Snapshot Time
<a href=https://celoscan.io/address/0x8a1639098644a229d08f441ea45a63ae050ee018 target=_blank>0x8a1639098644a229d08f441ea45a63ae050ee018</a>,528363.8492945003,222122.57715186005,yes (but no data on dune),2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x08bafb4400a102dddc5e5d584abf0aa38e174c57 target=_blank>0x08bafb4400a102dddc5e5d584abf0aa38e174c57</a>,129682.18205266085,54518.00028839247,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xdc5762753043327d74e0a538199c1488fc1f44cf target=_blank>0xdc5762753043327d74e0a538199c1488fc1f44cf</a>,64963.40213753721,27310.419368414234,RebasedStakedCelo,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x7c9b206accb51f8d809d904f439bfaaaeb904f2a target=_blank>0x7c9b206accb51f8d809d904f439bfaaaeb904f2a</a>,64499.24299342812,27115.2882567082,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb target=_blank>0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb</a>,58008.79471358094,24386.723271205286,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x9176779f5617db41cc11aef0d46e2113b682b55c target=_blank>0x9176779f5617db41cc11aef0d46e2113b682b55c</a>,50074.914386318924,21051.343783265318,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75 target=_blank>0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75</a>,39951.117428822174,16795.329913724556,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x46c5cfc2079309f4e7d9476a01730a60e2f1a164 target=_blank>0x46c5cfc2079309f4e7d9476a01730a60e2f1a164</a>,34753.33693247457,14610.198586401513,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x0a336306692f753c7cb0152e8f8eb70e3ce2dafb target=_blank>0x0a336306692f753c7cb0152e8f8eb70e3ce2dafb</a>,29061.798947547573,12217.493092152157,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x7a1f69add7bc3d739438762d506a2d4ec1d423cf target=_blank>0x7a1f69add7bc3d739438762d506a2d4ec1d423cf</a>,23908.55780750214,10051.085976600478,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x9fcd7d9e934ac04e5c7eae5bd7dc938fcdba84cb target=_blank>0x9fcd7d9e934ac04e5c7eae5bd7dc938fcdba84cb</a>,21437.33529369791,9012.191445464721,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xa72dfb06e984cdab5ef6047f2c8a79db4335fa64 target=_blank>0xa72dfb06e984cdab5ef6047f2c8a79db4335fa64</a>,20965.682035560425,8813.909830703496,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x9c5335a9ce4397427d64419b1878c3b42833003a target=_blank>0x9c5335a9ce4397427d64419b1878c3b42833003a</a>,20661.602288185913,8686.075617146495,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x6e42ce2fd45ff9b97a55d96f5a998dd8de2b2bfb target=_blank>0x6e42ce2fd45ff9b97a55d96f5a998dd8de2b2bfb</a>,20075.872746014575,8439.836674806289,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x8b4ac53a5a684e668a685777b3563cda1c4588c2 target=_blank>0x8b4ac53a5a684e668a685777b3563cda1c4588c2</a>,18905.082337692245,7947.639899518807,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x1258fdb35c1cdd340827e0417b4bbe2356ec756d target=_blank>0x1258fdb35c1cdd340827e0417b4bbe2356ec756d</a>,18095.467966211112,7607.280446591253,yes (but no data on dune),2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x415b43b85db2e5493b58847321d75efbc25116df target=_blank>0x415b43b85db2e5493b58847321d75efbc25116df</a>,16704.183490609685,7022.38862690184,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x3e48a1fbf1ecee44630832d87147bedf6916126d target=_blank>0x3e48a1fbf1ecee44630832d87147bedf6916126d</a>,14438.198276835139,6069.7752409866625,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xeda08159add4a97a81fe2e8d5ca20e07626f2e4e target=_blank>0xeda08159add4a97a81fe2e8d5ca20e07626f2e4e</a>,14054.2766311554,5908.375732907837,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xa265a3e7595b927a2d14e6131de5e4c34a5e787f target=_blank>0xa265a3e7595b927a2d14e6131de5e4c34a5e787f</a>,10905.086644670844,4584.4657101596895,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x1a14f3e3be186610eedcf69f7e76509106142527 target=_blank>0x1a14f3e3be186610eedcf69f7e76509106142527</a>,10806.554889814686,4543.043256013425,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x52c60e6da29f07469be3ebb8886344a3bcb8e36e target=_blank>0x52c60e6da29f07469be3ebb8886344a3bcb8e36e</a>,9132.30041180889,3839.191696223222,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x60cea5db2eef39c58e5f5237c12afd7937356bb6 target=_blank>0x60cea5db2eef39c58e5f5237c12afd7937356bb6</a>,7964.483522873117,3348.24497956529,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xe687660e45142b2baaf018097350153bbafef60d target=_blank>0xe687660e45142b2baaf018097350153bbafef60d</a>,6816.45170584298,2865.6158477812714,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xa97b4708c68eaf9bd72618c4545cd615a4c9c2ac target=_blank>0xa97b4708c68eaf9bd72618c4545cd615a4c9c2ac</a>,6038.759340763487,2538.676310578948,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0xe971f568c6cfb436c88ea943e5dde716d89a3b21 target=_blank>0xe971f568c6cfb436c88ea943e5dde716d89a3b21</a>,5941.658370951674,2497.855354172971,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x5464d19f5561e7888ea0cc043715f4356d52d4cf target=_blank>0x5464d19f5561e7888ea0cc043715f4356d52d4cf</a>,5931.746991628099,2493.688640039478,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x965e7c960800af447dae4443fdb75fd6c398322e target=_blank>0x965e7c960800af447dae4443fdb75fd6c398322e</a>,5698.080716217112,2395.4560388555255,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x429c5b6389d44f74e89543b6f54654fc9ac1ad32 target=_blank>0x429c5b6389d44f74e89543b6f54654fc9ac1ad32</a>,5187.620325732746,2180.8600220770695,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x494be2a0d940d15e7b34beec301b3df63d050e76 target=_blank>0x494be2a0d940d15e7b34beec301b3df63d050e76</a>,4838.076171982045,2033.9127084727359,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x9dbd4cec1c3f22a351a2e25aa57dae1cf3db3919 target=_blank>0x9dbd4cec1c3f22a351a2e25aa57dae1cf3db3919</a>,4810.000046333261,2022.109589478364,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x1feadedd0a4c1acae53b582c5200b580704f91dc target=_blank>0x1feadedd0a4c1acae53b582c5200b580704f91dc</a>,4481.061876092516,1883.8249695236657,,2023-10-15 12:00:00.000
<a href=https://celoscan.io/address/0x86773e19832d3ea3e9a4632b49f50ae8de9bebb6 target=_blank>0x86773e19832d3ea3e9a4632b49f50ae8de9bebb6</a>,4370.052387889376,1837.1569137115303,,2023-10-15 12:00:00.000
