Address,stCELO Balance,stCELO in USD (approximate),Contract,Snapshot Time
<a href=https://celoscan.io/address/0xe971f568c6cfb436c88ea943e5dde716d89a3b21 target=_blank>0xe971f568c6cfb436c88ea943e5dde716d89a3b21</a>,5941.658370951674,4551.577686775675,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x628b1132b0ccfe847f5b537beb8b35844354b3e7 target=_blank>0x628b1132b0ccfe847f5b537beb8b35844354b3e7</a>,5316.165411640879,4072.421932760437,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xd143ed1ae715fb149cb2356ca18138e29d308e72 target=_blank>0xd143ed1ae715fb149cb2356ca18138e29d308e72</a>,4684.12552593607,3588.2509385156964,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x0bbf91036b886eb9f7b902a5de615b765917aa24 target=_blank>0x0bbf91036b886eb9f7b902a5de615b765917aa24</a>,4587.577240754757,3514.290607393978,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x1feadedd0a4c1acae53b582c5200b580704f91dc target=_blank>0x1feadedd0a4c1acae53b582c5200b580704f91dc</a>,4481.061876092516,3432.6950448712914,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x7bfee91193d9df2ac0bfe90191d40f23c773c060 target=_blank>0x7bfee91193d9df2ac0bfe90191d40f23c773c060</a>,4298.579848739694,3292.905600227799,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x9e9ef3da9f553c47f88363806835bdd8d45627f0 target=_blank>0x9e9ef3da9f553c47f88363806835bdd8d45627f0</a>,3604.399940909763,2761.132552734219,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xd8cc14daf1efc22dd73378d9fd0e94da5d7ce698 target=_blank>0xd8cc14daf1efc22dd73378d9fd0e94da5d7ce698</a>,3377.6213417245303,2587.4099407213675,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x8aa0e202ffb340a3f6f486427b7ae54e2da6b2f1 target=_blank>0x8aa0e202ffb340a3f6f486427b7ae54e2da6b2f1</a>,3191.5640474426423,2444.8816807231988,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x18f30730822d08cb53b90f73253d536408f939ab target=_blank>0x18f30730822d08cb53b90f73253d536408f939ab</a>,3032.63275278452,2323.1331571068176,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x3a84aa862b9a4d3286d5b1dc173af8971a132160 target=_blank>0x3a84aa862b9a4d3286d5b1dc173af8971a132160</a>,2839.197811017649,2174.953287141015,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xcd4846e7b1a2b17b9a9aeb89b16776806a6615c7 target=_blank>0xcd4846e7b1a2b17b9a9aeb89b16776806a6615c7</a>,2677.3751579490363,2050.9898528710696,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x7a6f024e8d4a015afd417ddcacedcb98c3976224 target=_blank>0x7a6f024e8d4a015afd417ddcacedcb98c3976224</a>,2666.9490476649466,2043.002983218494,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xa81185ad7d168388ad70588a26ffc3c8078cce43 target=_blank>0xa81185ad7d168388ad70588a26ffc3c8078cce43</a>,2603.1059773734723,1994.0963184370617,,2024-01-15 12:00:00.000
