Address,Average Locked Celo Balance,Average Locked Celo in USD
0xae89e059f87bd83d60e761c71ed481dd23c212de,146076.97750291007,78708.8348029097
0x52f04f639b23792fbcb96a695acacff0173f260b,143297.28770969648,75977.82113519734
0x8223a32ed93cf9c89ccdb159c13c8fb485a61665,131808.37385465074,81070.94386243817
0x2a604fa400a5295b6a1b2e5218cc0def7223ed39,129434.20497445017,57713.236419791145
0x800fd4dd74c5b3047d62757fd8f7a8577d19625f,119788.61040858876,65084.36054150765
0x76c429f745abd6b0bd9b3bdee451038a0109ff73,114782.76483716752,62411.528435844055
0x660c153e141e54a9fbf950796347d62a90f752f6,114669.11890238048,58905.30666925906
0xec15d94bfc46e788dc3f232f21264d648fb02346,113199.34024158116,61571.87189048785
0x7dfbd308340880e9ebef746120f024284081ed39,104197.95371850657,56656.11575233142
0x91453ac562951b28564341b3187365a7a511d597,103955.47636258998,56535.176875179284
0xf044c32774b6dd6cbf5e25befe59e4affe2d7759,102506.5078196244,56919.0591197267
0x762bfff5b40353273b4f105065c7e1fa7820dfa5,102391.77541679161,55674.29115988283
0x24ca142a6de916209076966454cc3c4af9b142ad,102338.6076222795,55645.27984856985
0x6d55e81ad355f2cd59de9d70249d350365ba9e3d,102100.98270637017,55529.351110485324
0x32d613eccdba32b5813845d0768bf1b2f351729b,101959.61169057006,55650.29044475482
0xa101c6a180a4c9949dee6992a32e9e648cd3e4ce,99217.01524707291,44241.91879903143
0xa2d3f9671626f7e399b24cfc953b972439ff96d9,97326.6420756138,49980.80908088775
0xb89450ec3ae6257600a9bff818d676f1ac569e40,96629.91666063188,52553.938366179646
0xa649f5cfa38432d70f47484bf80d808eb257a154,95160.0222002655,58146.82012727909
0x6d70cd504b902c5dcbaffba2e12a3c34611983d9,91408.90979440701,50612.04052290652
0xe004118f8208fc028ba658aa1d2aa6c4cda3dcbf,91397.42414103948,49456.30704631455
0x351aebcded9240ae77dd0a3987e2110b15e0f038,90826.70607960936,49385.870033183186
0xf1d7bd98029f5cdcdc60d695a44ad42827f18eda,87439.74634560368,49512.34444971895
0x9b79f678580902536bdf346da1aebf9bb268b867,83748.78859158985,45537.301630612055
0x8d7ab081c7cd2ed14ee81e29ac01ab25676a48ec,82458.53679818033,44851.137568969374
0xcff6304a82638e75a1aaf86a994ae20033c1878b,81972.19553719486,44577.71243361899
0xc7838a9fbcc69ba447e237fce8e27e2b91dc1212,81766.64318542257,44459.54315818208
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,79541.56141559027,43264.58810623972
0x00d9651368bc7bf25710262d7b82dd5095495cee,77765.22162137197,42945.3104833544
0x4872bdfd6b264c48c9c93af100d50011b0b384f9,77670.09782084964,42232.09187904763
0x2e5ef3dac8e3156533ed29ded8ce8b9f8920f2ca,76742.15892802233,41727.54553681809
0xd065c281f14de881b4f5e25ab75aaba7f53f76b5,75684.41918398334,46246.40635145746
0xdfa0022c44b2959330f5953fe32691558a46d475,75185.81382814198,40856.488237371836
0x2cf21fcccb2bcd7200c404eaae02a3bbbbdffe75,72029.74519340291,39172.6778354563
0x616bed91b7774793a93e316c657d83309d5fe185,70553.18330649076,38362.26314872479
0x4aa017d8f14c0d0fb08b9459953465d8abd233b4,70309.8489447069,38232.94670420225
0x0a9679635d465d3df2aa42e617e95063db0defb9,69994.92378677335,37448.91636224468
0xb2e5fb92d905f3c9cf50800b6212600c7e220d6b,69285.78818077412,37721.53798662362
0x2e88b48f5acd78e1c07562202c53729a95125179,67992.47293076938,36965.151517661456
0x56e73576aa23b24dbf762d3a42f0b0cdd56d9884,65332.79770741737,35488.57917565771
0xc7d1900659b35e4c5583f25ef016d9caa568fd05,64977.01282548719,30505.532191749688
0x6a1c5504aa57de395bbaaeac0aba67300d69eadc,64637.13626991833,35750.112963237356
0xcd37c8b0f8a71a6e3febd14ad86971b1bc5e3876,63539.6687,34591.726346470045
0xb4d83b173a0288a3f8c4646ed8ce473d1f9ba978,63181.71296936289,34354.157115689304
0x6b5fd8d5c972ee08a907bcebf3fd837735d05576,63123.41053293752,34322.52915796737
0x8f535aecd81b81f74c1a495766c87e50bfa61629,62416.666666666664,26239.779416666668
0x88c462e6cafbe932a7f07e86d984f0801aa7afb9,62360.14949579327,33919.20065640325
0xdfb94147574868d6f0ec97260f74ddac132cc07e,60724.36206536521,33182.51409927145
0x69538060181e15b80db6e2a955f448a8723ac49a,60711.12815670398,33042.004899183805
0xff5a484c3490f02715ebed886dd464390a4397a7,59090.15720411589,36106.21252704624
0x97c4efd0612ac0e9eada06e65112480b4d0a129b,58959.15718202371,32738.406806308103
0x0a3cbf90327c93054ddf210fd6d5fa2cdfc875d0,58049.27641189817,31599.26963106259
0x47b2db6af05a55d42ed0f3731735f9479abf0673,57847.73735002892,31453.86244501268
0x067e453918f2c44d937b05a7ee9dbfb804c54add,57830.0303243335,31444.382558094134
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,57783.94586343629,31426.800834295558
0x35ae10f412503abcf9275133613e8df7f56e72be,57781.46583563945,31417.916573107257
0x7dbb949346aeda9233218831455d57eb8344af82,57758.116221760436,31415.12941679828
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,57403.910588919796,31220.090417037685
0x01b2b83fdf26afc3ca7062c35bc68c8dde56db04,57059.952428062774,31025.516219700643
0x87fd391ab38f1424a9c20e92a03eb2f948b34f35,56756.1553946209,30860.321666158048
0xcf09f004f2570e5fa5d5403e62e4b1ab3704f829,56554.44662457571,30750.7415112013
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,55584.12712961755,30229.33836457497
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,55412.131178931035,30159.227747081455
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,55182.33554947514,30004.668734401715
0x5024e430d42e53b3465ceb255f190b1a35f9ebbc,54625.77263491391,29702.04497418973
0x6a8aabaf844c7ee1464ba37843e401a71a75ea08,54497.162747547634,29632.120444467382
0x22e67f5e69d7bdf087ba157e4b42ad9fe2760728,53645.18981508561,29205.05251055284
0x31dcd357424e2eac02e3e5082f88d7d9a4c687ee,53232.80334893335,28979.284575611837
0x5742339a2cc7e14f660655a355d7a0a0cbc7840d,53186.97626743498,28919.775934868132
0x522f1158d367aeaa43b8f8f0564f1f72acb2048e,52346.137029138095,24081.904883734616
0x4b401e52d022a66f4ab1ec6c1574e5a69828856a,51856.27238182596,28196.165659254915
0xa2ce5ac9e6437db974bab92faf55d7055b93eee6,51506.716598903855,28006.103716062495
0x81383e7c8801b102f742f4f5a5fad06867212b05,50192.93265338702,27320.936052017234
0x7e788daf106e75f466da2615e54cb5ee4dbd6461,50144.15556684683,27656.58808058283
0xbea90ce4ad218c6b5dd7d42f4d63deadbcb0c882,50000.1,27220.62944115001
0xfe6b868763a16e5b42b2a60f0b6eaaa0fa513cc1,49087.85224593323,26725.095731717567
0x29b22526e641cd489375288c62a59093ba4e8963,47526.89245416389,25842.071287027953
0xea6916f993571074f3a0b49a67926c9be4667cb6,47414.29802830099,25812.889111034387
0xabd5dcb303185694bb92772f35670af6a92112b1,47169.273273706494,28822.123449151015
0x6b18116fbeb586197f707545bb3e078fd35808e6,47169.273273706494,28822.123449151015
0xf1dd2882f6fdb1792a4b71d2320c9ff167c39736,46343.78170499034,24731.478307990485
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,45651.7210239935,24853.70820893558
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,42825.699680907244,23286.12783311011
0x08d06baef01e58f9a10d2b50443b98d2e1a31041,42671.566623347746,23687.45214061986
0x226ea5c05331bc194b3912f63fe0dec98f935deb,42408.55942170101,22855.685134989588
0x03b60711d1c5133539ed1e987c0e41bf2f8c034c,41571.34764773172,22608.17394560903
0x8c64658c8419b2f35876870496f1c36c5fe9f8e3,41063.426618420686,22020.026776789815
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,40913.89287599148,22281.15272300006
0x3c36c739d6caf64411edd9b2a6b38632f1d18327,40579.429621053125,17071.197929562353
0xc6b87d361596e6ca611f8530becc3dadd1640cef,40300.71168412427,23301.17143127954
0x69db7f52894fdf96f4384caedd70452939b35233,38552.36845077349,23711.760017745604
0xc1013a0c0e4ffdd4bdcf43f82e16deed97126375,38501.0097455554,21174.997308158006
0x0442efa0c708d8dd9c288256be756e01ec1601f0,38139.60385212075,20871.687570207203
0xcce4651959cb9f208751433db69c2e7f47b23af1,37581.12114728412,22963.417451426187
0x5ad57905651b7ee2f6adcdaf0c7fd24ab7b5d63d,37191.13834771401,20463.5529863204
0x17e1796726b3a342a3405d5261b4755a07c3d55a,36913.32651800597,20071.13866369335
0xfefe19e2ce425be7e8ed6576447ef6467bb49e69,36494.43119864628,16272.459391166061
0x1a81539281d80deb1c2a042225be8bd4071c9539,36468.791472370074,20246.60605303779
0x0e7f5e44ee4f6ede5fd5a32c9e65bc041b25e2f1,36205.257915172675,19686.084638634507
0x8e3ddaf0f0d107160324ae6c012d8ef47cf481dc,35411.73974717842,19636.169615652554
0x7194dfe766a92308880a943fd70f31c8e7c50e66,35345.656954419595,19225.441818476073
0xc7521e3e497c904f2539bf408415aeb4fec2cb28,34810.997107010946,18929.355863710658
0x481eade762d6d0b49580189b78709c9347b395bf,34696.21381710397,18865.638022072188
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,34691.732640210874,18863.35165793017
0xe267d978037b89db06c6a5fcf82fad8297e290ff,34461.23292736996,19811.17107378833
0x8d8234f98f803483082467837814704fc9799695,34212.98124493886,18475.791283635575
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,34197.45879470865,18594.367194328825
0xe6bf4e939d0b9db76da62195c1ffe7bf869ace96,34047.24734105211,14532.368770384986
0xb3acce79f74c43200ea3f1ee5f674d09ef8cf78d,33548.47200511912,15401.545482716856
0xbb52945b7d568c676a1db7503a43dea0ef30295b,33523.455883693015,18183.977938359556
0xc1f0ecc6e47f0b915032d243090aee4ced5a8b77,33510.00880719023,18220.387955486585
0x1c0d7f105d0f91beec11d0e6110bd5f09081e1f0,33186.75396979117,18044.86072070841
0x4e957bbc61afdab63263ffdbaf201f6f596e3e2d,33014.760760611935,17941.685883052356
0xd206ceab2919c0c2d7eea697c04bdff7b392209a,32937.33787854759,17912.651530413677
0x77ae7af49e703592ae822fda77af841621dd6d31,32919.26691811063,17899.3707024118
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,32814.43628715815,17781.165918323244
0x6ee91213ac641aa3fd8d852c2cea1e59522e2be0,32428.901745096682,17655.396680835067
0x27fb19a794d4035a466a422c0c1bd809227dc8a5,31369.98301606259,14431.828321614996
0xa2d20dd35889b6594c1dfb2f8ae2763aa406aea9,31142.306404861738,17740.090271967103
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,30627.23643289063,16653.17150013903
0x0861a61bf679a30680510ecc238ee43b82c5e843,30000,16332.345
0xf83c93ea360b66ddcd532960304948b1c10786a1,29940.46526194975,16279.696930265736
0x46a2d36b43a315405f72bc5cffcf50720df2d006,29084.847121482246,12940.17252392222
0x472b5caadef3d79eb786cde75d5351584cb12e54,28749.07548756438,15702.613287740101
0xb5c5e8039a28540175f876bdd7205c52d10b2be2,28391.884583587977,15758.629671480301
0xa76aef0d002f6c5b77e1ee361062874b171f8d93,28308.115798484836,15330.873771661229
0x38777e54f9d386514a6692dddba8a490676ed60a,28261.23446282909,17078.63487302753
0xffb9f456d3eef70ab79c58ea9b038513139612c8,28090.842593905192,14790.04831645282
0xf24fe4692947c0d6a6cde4a8fb644c3d30efaea4,28060.910383124185,15261.2403701984
0xfce209d7d98d42f78fec96f23e7a3fb365bb1a1b,27694.443435138786,15058.849107952743
0xfe62152e47291c4877f6f5a7e90de13a37722aff,26859.65558162093,14383.657941449113
0x6cc29a817e33cabf107623dfbed9342358cfdb88,26591.854708341456,12455.724584494486
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,26587.785126301213,14168.107672560984
0xd4dc24c72857d691b7f0e996e6d26d94b5562059,26277.97085620367,14151.445090172381
0x44eb9bf2d6b161499f1b706c331aa2ba1d5069c7,26235.482379290042,14042.36380465424
0x9603a2f3140e684c394a3dfb868cecf3c3c9ab6d,26136.752897419592,14214.219391814799
0xb6a1bca0c67e9c9b358c40e45d27b598d5be0ef9,26121.100109708543,15786.674304430859
0xd8de86d604a1f7e76aa01d1eaa56b964263d143d,26116.286905951503,14218.006928899418
0x1c9d376f7d85b1853988129465f47acf74a23a5f,25784.933369885504,14020.218180297621
0x2691f80105382d06839485e078b643b64e2b3966,25658.651975198605,11804.330483147804
0x28d9f55c1fa2886e05fa5a4451c0f6e88827215a,25410.473517683076,13815.76176120858
0x0b84c4f1afce1bfcb32baa86cfda02de79b761f9,24823.005005507224,13514.487898093872
0x34649ada2cb44d851a2103feaa8922deddabfc1c,24582.92251068148,13374.5012625167
0xe141831c2c1198d79b9ff61cd97c3baca7f071e0,23131.130294774735,12577.22314461269
0x8eb004dad9397b8f23e1279905c584920000756d,23103.352903014933,12562.109654922455
0x0f66619058bb9675f3d394fcc2ce236a29901571,23103.231704478414,12562.138391158223
0x59428ac67d082b71d0a9eccd75ee0969ae79d929,23101.95411543555,12561.410013486113
0x8a12cab622b8093208931fa008d12d6ba5af47e4,22939.46674688501,12473.008529457797
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,22928.874445875623,12513.356288039677
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,22822.064034194165,12423.247963278032
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,22784.925349977402,12389.218616859087
0xf671bacb43179f30f3fdd58f81367fd5c33ac1f5,22235.545616556712,12090.253247473569
0x0d4f8cea48cdadeae345431577a64983c0535b12,21960.092356507263,11940.452160287066
0x07fa1874ad4655ad0c763a7876503509be11e29e,21877.66565438749,11895.637316752203
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,21282.36450363947,11585.639090600229
0x55b85f38df73b6fe69fdd6260e4a5e85732f1940,20982.648696268505,11409.03908892002
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,20969.820063814885,10930.326923653163
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,20845.43641077288,11350.570999224467
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,20730.815196164673,11272.077036756375
0x7e11e85faa97652623929c9677e442e219ce0bbd,20643.10264285455,11224.341910970377
0xc32e1a6cbf56eb0b4cdb63c74729cc3c938f6265,20590.759189459077,11199.814276616771
0x98afeecded971fb61ab1615ec67be0fe9a559885,20551.76356343683,11089.728327761672
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,20463.272727267824,11132.622596130823
0xa04c9041feb5bafb38a44e5216fe9769e17b11e9,20395.49411690752,11089.840462567927
0x4b19d06f842e234822c182b4e34e7cd1356ff4fd,20192.44142269352,10979.34305179317
0xeb542d863b1798c10524a050b110290347b36bd1,20081.799038721456,11107.029574165112
0xfaa0b40645ee5e8d9ae38393e8cdf8e5baa71d13,20055.169178588265,10956.430972229857
0x190c8ef199d463da319257bb58f7b13b872412cd,19112.441036521388,10462.719318278709
0x002b75b47d93c8e8f3f0668004e60fb1411db307,19044.246962516914,10367.901584528427
0xb4d05a6d4bcce4aef99695f564c91f41ee61ada2,18808.199440969267,10307.335200375035
0x08a76efaa57b28e4de679ce5c3369308b455380c,18698.55972057831,10864.48615351512
0x4ef76d9ae09e8d2c02e8eb65828aea92c0b1ba3b,18651.43432128131,10337.625659106883
0xa6db9a52ba325547eab1bad65c2c6fb388227a62,18541.494367500152,10120.438417256091
0x2331bb285b88a5bcc1cea9cf1dba6827ca347a16,18353.818770486116,9964.259723176376
0x293d502bf45acf208333644c344fb81f3a9a6fdf,17799.3013822007,10212.421951316415
