Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,1.1168056280217776e+07,1.1168056280217776e+07,0,0,1.1191805291045373e+07,,
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,3.5565671975091216e+06,3.5565671975091216e+06,0,0,3.5641302819674565e+06,,
0x655133d8e90f8190ed5c1f0f3710f602800c0150,3.2503365499900337e+06,551405.8606944148,2.698930689295619e+06,0,552578.4321273891,2.5391735095925825e+06,
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,2.9015994769220115e+06,984964.705480354,1.9166347714416576e+06,0,987059.2451986655,1.803183852964679e+06,
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,2.242607865649984e+06,2.040984144057674e+06,201623.7215923101,0,2.04532432226953e+06,189689.0553,
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1.063451076327733e+06,0,1.063451076327733e+06,0,,1.000502462871262e+06,
0xca31c88c2061243d70eb3a754e5d99817a311270,997878.1793475619,997878.1793475619,0,0,1.0000001797289466e+06,,
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,974346.720881517,317266.7457098472,657079.9751716699,0,317941.4173975648,618185.5922632434,
0x918146359264c492bd6934071c6bd31c854edbc3,832974.4456993736,832974.4456993736,0,0,834745.7762365475,,
0x0708501b884f5637159e61566581cd5933e36e21,656438.6898495189,90225.43681761992,566213.253031899,0,90417.30233317091,532697.5229786512,
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,622529.8771272582,0,622529.8771272582,0,,585680.6101767666,
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,548832.9,548832.9,0,0,550000,,
0xb0394d0f593c719219fcfcda7ca2778eaccdbc93,491490.53924460005,491490.53924460005,0,0,492535.7,,
0x9288bca9a883dbafd5625a1a11ccc9363a1aabe9,473992.05000000005,473992.05000000005,0,0,475000,,
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,443578.4116124207,221511.41088130392,222067.00073111677,0,221982.4576564509,208922.24014774137,
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,414264.57174832304,0,414264.57174832304,0,,389743.10482222325,
0x573dee1fe5bbd090c61faa82873d5174f25c9686,364831.0211608363,364831.0211608363,0,0,365606.8388729246,,
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,308863.793828266,0,308863.793828266,0,,290581.29075766593,
0xaf106f8d4756490e7069027315f4886cc94a8f73,302494.8417773311,235441.23974063917,67053.60203669194,0,235941.9084704134,63084.5136889258,
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,289025.65732629015,289025.65732629015,0,0,289640.273987692,,
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,288039.02829971013,288039.02829971013,0,0,288651.5468821941,,
0x6ae867289450e847292a8b2a81bfa582e2c1f27d,255547.1336363484,255547.1336363484,0,0,256090.55779999998,,
0xf89d7b9c864f589bbf53a82105107622b35eaa40,251421.34308891775,251421.34308891775,0,0,251955.99370756518,,
0x2962518b087b3ae071ca4d737c7d874af04b2142,233782.86736989275,9816.667583267705,0,223966.19978662505,9837.542849193693,,1.0904128321779924e+06
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,218322.651065959,218322.651065959,0,0,218786.9169036285,,
0xbbbd1bbb4f9b936c3604906d7592a644071de884,192058.67437003306,183463.6052445269,8595.069125506156,0,183853.74288693297,8086.303187837015,
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,174103.48159684762,171505.28069989535,2598.2008969522676,0,171869.98881616324,2444.4061925364517,
0xfd5749e02238666fb9479b719f878a1172f2cdb6,173137.08183828002,173137.08183828002,0,0,173505.26,,
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,166074.4898362137,166074.4898362137,0,0,166427.64930804537,,
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,164983.00314815756,164983.00314815756,0,0,165333.84155994776,,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,164145.28712411103,86092.75498337571,78052.53214073533,0,86275.83229951527,73432.3866687007,
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,156999.26909814,156999.26909814,0,0,157333.13,,
0xa6314811afbce6d29d7eb4394d8fa583d0fd0363,149681.7,149681.7,0,0,150000,,
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144692.76902387998,144692.76902387998,0,0,145000.46,,
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,142947.63696445068,142947.63696445068,0,0,143251.61689550293,,
0x044ff4731885e0b9dc39d49962d47fa318ded59b,134710.5978046588,1305.003539015491,133405.59426564333,0,1307.7786453008193,125508.9477970936,
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,119346.73562554944,119346.73562554944,0,0,119600.52794585052,,
0x796dff6d74f3e27060b71255fe517bfb23c93eed,118389.37690369591,254.7643009997039,118134.61260269622,0,255.30606046,111141.8978177,
0x74645efa0029302479c9fd0c497ee56e747d7299,116966.75694933129,63820.90694933131,53145.849999999984,0,63956.62290313175,49999.99999999999,
0xddccf2341e4503af58788e7f71f82f69a0c65402,115888.26216660002,115888.26216660002,0,0,116134.70000000001,,
0x424512429f16bd8c17ab3137341d2cb069bd18db,108869.487678,108869.487678,0,0,109101,,
0xa228228fba1dbb76cbfced5abe2644d4ff00adc5,108301.74467505339,108301.74467505339,0,0,108532.04968448385,,
0xdc4690982cff5fa3a098cd336aead7767ab82452,107817.4399199048,107817.4399199048,0,0,108046.71504923928,,
0xda2069f47d252121c2288301d6ef50b87220a693,101207.23420082487,101207.23420082487,0,0,101422.45264533827,,
0x7ad099d11523d4557da015c720e01565014fb713,99787.79999999999,99787.79999999999,0,0,99999.99999999999,,
0xac19b8ab514623144cbc92c9c4acb3583e594be3,91587.58898005071,91587.58898005071,0,0,91782.35112914676,,
0x8c9c63f123523260061458638ab5983462f2d265,82262.74967850604,0,260.0524571343097,82002.69722137172,,244.65923222068113,399242.3562509818
0x9c958c5b147a07d9b77d20bb5c8f617fa9ba5ed7,79830.24,79830.24,0,0,80000,,
0x5d7083a4124fb2979c4505cd75ae606d5a4435d3,79830.24,79830.24,0,0,80000,,
0xb74b966f442b2346d9b6835e320ac4673fecdd90,79352.37984853137,79352.37984853137,0,0,79521.1236729654,,
0x12b73856075fcfd404a66d174adf2bc86f538347,76014.97176285503,76014.97176285503,0,0,76176.61854741264,,
0x29b22526e641cd489375288c62a59093ba4e8963,74893.64976510477,74893.64976510477,0,0,75052.91204446311,,
0x5472895f8de2424aae41cfeba18d39145fa8e685,74843.00962794742,74843.00962794742,0,0,75002.16422042316,,
0xb83258bf5940c98abf54f26c5a02710bd6b83b2c,73944.00311628263,73944.00311628263,0,0,74101.2459602102,,
0xdc553892cdeeed9f575aa0fba099e5847fd88d20,72230.0518947,72230.0518947,0,0,72383.65,,
0x924531e9baf2862f0deeda90dac18eb53cde859a,69851.46,69851.46,0,0,70000,,
0xcabe1d77ec810e2a03720162749b2671621ff49c,64950.53060957957,64950.53060957957,0,0,65088.64872216801,,
0x9ef2923c36c8b24a1c86851ec686d6dcbaeb2467,64861.06253502554,64861.06253502554,0,0,64998.99039263872,,
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,64770.53071076332,64770.53071076332,0,0,64908.26605132423,,
0x612a7c4e40eacb63dadad4939dfedb9d3397e6fd,63347.255295932046,63347.255295932046,0,0,63481.9640235901,,
0x4fe45fc52a410b6be04a5e052cd04931b011e56b,62161.13430476072,62161.13430476072,0,0,62293.32073135265,,
0xaaa6d28f04c9efdb39f77497cefeaf0b36cd9217,60254.81706157424,60254.81706157424,0,0,60382.94968079689,,
0xe971f568c6cfb436c88ea943e5dde716d89a3b21,58858.17983262069,4802.93484717238,46734.59505264207,7320.649932806239,4813.148347966765,43968.2449830439,35641.67554845294
0x4e31993d9f13f940828bf9ec2f643a7e55b21e8c,57692.36444604986,57692.36444604986,0,0,57815.04797785888,,
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,54825.55656866457,54825.55656866457,0,0,54942.14379780351,,
0x1d658605710644b243ab3be33b83d00eafa2fd5e,53617.15750864811,53617.15750864811,0,0,53731.17506212995,,
0x473acfc4a18b2fb92e081afa922f2e7bbf01afce,49893.899999999994,49893.899999999994,0,0,49999.99999999999,,
0xd6540d03326f37ba83af83a74911e094151ef094,49893.401061000004,49893.401061000004,0,0,49999.5,,
0x5776b4893faca32a9224f18950406c9599f3b013,49480.190331579746,49480.190331579746,0,0,49585.41057281526,,
0xcf5b7f0288fe863ce2941a0c24fcdc3d8a4443fc,49277.23970900291,49277.23970900291,0,0,49382.028373210866,,
0xe81ef36fcb902b5784994bf301ad6b47749c3892,49010.08849639294,394.1774399130162,48527.78828882605,88.12276765387323,395.015663150221,45655.29414698049,429.03883152176184
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,47686.636437551,0,47686.636437551,0,,44863.93240257801,
0x51514b3dc24afc1db95586242b99f0063bea17c5,47396.760578045156,47396.760578045156,0,0,47497.55037995141,,
0xdb79ac912b73edfcf8a008603b7daea2dca842ed,46976.003709645775,0,46976.003709645775,0,,44195.363993280545,
0xdc55d1fd1c04e005051a40bd59c5f95623257bc5,46286.49694190637,46286.49694190637,0,0,46384.925754357115,,
0xd1d8042ad72c1e22320708e1553f2dd09ca96fba,46142.423044505456,16551.26391988953,29591.159124615922,0,16586.460388834636,27839.5764905594,
0xc5aede76095c8c086684e97a0af01e88a84fda0b,45977.70231620363,45977.70231620363,0,0,46075.47447303541,,
0x904d01bb87c41f178e5f0aa73c8eaa076c3094b8,44904.51,44904.51,0,0,45000,,
0xb5bbea2325a8f5a0130a1aaa372ba768f1c62c43,44634.92157633955,44634.92157633955,0,0,44729.83829319771,,
0x78919b3eee62360c80a635280fe124f295d8d028,44432.513706000005,44432.513706000005,0,0,44527,,
0xdc81e2ec0f63e08a6d246ab1d55f84e0d7bda862,44340.83503474191,44340.83503474191,0,0,44435.126372905215,,
0x079e7a44f42e9cd2442c3b9536244be634e8f888,43474.59842321143,43474.59842321143,0,0,43567.04769842749,,
0x93887e0fa9f6c375b2765a6fe885593f16f077f9,43314.44268343255,43314.44268343255,0,0,43406.55138547252,,
0xa3a3648c7587f41a1278756e00dd05df1c8cb1d2,42608.0520750067,42608.0520750067,0,0,42698.65862861662,,
0xf4fa51472ca8d72af678975d9f8795a504e7ada5,42382.29578149127,41900.49722169889,478.1880058459269,3.6105539464573724,41989.599151097515,449.88273387849375,17.578520143837896
