Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,Contract,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Time
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,1.1254353627663331E7,1.1254353627663331E7,0.0,0.0,StableSwap/cUSD_USDCet,1.1258902224161891E7,,,2023-11-15 12:00:00
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,3108193.386596875,3108193.386596875,0.0,0.0,Gnosis Safe,3109449.6042369865,,,2023-11-15 12:00:00
0x655133d8e90f8190ed5c1f0f3710f602800c0150,3057743.3987532197,252879.82933908628,2804863.5694141337,0.0,Gnosis Safe,252982.03408085494,2586923.0621935166,,2023-11-15 12:00:00
0xd533ca259b330c7a88f74e000a3faea2d63b7972,1861177.3312077539,549.8619995987868,1860627.469208155,0.0,Governance,550.084233629173,1716054.9848956512,,2023-11-15 12:00:00
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,1853479.4781347592,386348.1574593653,1467131.320675394,0.0,,386504.3051986656,1353133.8529646788,,2023-11-15 12:00:00
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,1626371.365745793,0.0,1626371.365745793,0.0,,,1500000.79847654,,2023-11-15 12:00:00
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1084791.793860777,0.0,1084791.793860777,0.0,,,1000502.462871262,,2023-11-15 12:00:00
0xca31c88c2061243d70eb3a754e5d99817a311270,999596.1796563362,999596.1796563362,0.0,0.0,,1000000.1797289466,,,2023-11-15 12:00:00
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,990056.7067307127,408724.90711114125,581331.7996195714,0.0,Pair,408890.0987110205,536161.778284442,,2023-11-15 12:00:00
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,592925.14201012,0.0,592925.14201012,0.0,,,546854.3071921066,,2023-11-15 12:00:00
0x918146359264c492bd6934071c6bd31c854edbc3,570978.0968226754,570978.0968226754,0.0,0.0,ATokenV4,571208.865204218,,,2023-11-15 12:00:00
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,549777.8,549777.8,0.0,0.0,,550000.0,,,2023-11-15 12:00:00
0x0708501b884f5637159e61566581cd5933e36e21,506542.12275516207,194.75425191328557,506347.3685032488,0.0,,194.83296443091567,467003.70718410914,,2023-11-15 12:00:00
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,447644.757883816,223593.9917544017,224050.76612941432,0.0,Pair,223684.36023593703,206641.81328554687,,2023-11-15 12:00:00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,422577.7921741811,0.0,422577.7921741811,0.0,,,389743.10482222325,,2023-11-15 12:00:00
0x0d0707963952f2fba59dd06f2b425ace40b492fe,399135.31922061724,317345.00466704136,81790.31455357588,0.0,,317473.26386564306,75435.13106660741,,2023-11-15 12:00:00
0x573dee1fe5bbd090c61faa82873d5174f25c9686,346490.08116495895,346490.08116495895,0.0,0.0,Gnosis Safe,346630.1197333312,,,2023-11-15 12:00:00
0xb0394d0f593c719219fcfcda7ca2778eaccdbc93,328131.0814652,328131.0814652,0.0,0.0,Gnosis Safe,328263.7,,,2023-11-15 12:00:00
0xaf106f8d4756490e7069027315f4886cc94a8f73,324987.39228132606,256688.86698655956,68298.52529476651,0.0,unverified,256792.61120148495,62991.66637746429,,2023-11-15 12:00:00
0x796dff6d74f3e27060b71255fe517bfb23c93eed,317892.8280171,274.85937929118654,317617.9686378088,0.0,TokenBridge,274.97046736,292938.75716309,,2023-11-15 12:00:00
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,292483.53382976586,0.0,292483.53382976586,0.0,mCEUR,,269757.2913088677,,2023-11-15 12:00:00
0x044ff4731885e0b9dc39d49962d47fa318ded59b,285108.1160785872,0.0,285108.1160785872,0.0,,,262954.9503743955,,2023-11-15 12:00:00
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,278973.64303099597,278973.64303099597,0.0,0.0,StableSwap,279086.39393414534,,,2023-11-15 12:00:00
0x470787a48c0325d7ccefd6207fa32128c6d4f1ef,265257.33805660444,37408.324311142766,7697.198523317718,220151.81522214395,Gnosis Safe,37423.4433822692,7099.119041434026,1070412.8321779924,2023-11-15 12:00:00
0xf89d7b9c864f589bbf53a82105107622b35eaa40,233939.30885603034,233939.30885603034,0.0,0.0,,234033.85853487844,,,2023-11-15 12:00:00
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,218698.52698919945,218698.52698919945,0.0,0.0,Gnosis Safe,218786.9169036285,,,2023-11-15 12:00:00
0x4819d7a8f074dd16ed5446b5c86849d848846e89,209915.24996364003,209915.24996364003,0.0,0.0,Gnosis Safe,210000.09000000003,,,2023-11-15 12:00:00
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,205669.7891418591,0.0,205669.7891418591,0.0,,,189689.0553,,2023-11-15 12:00:00
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,193005.83568795756,193005.83568795756,0.0,0.0,,193083.84155994776,,,2023-11-15 12:00:00
0xbbbd1bbb4f9b936c3604906d7592a644071de884,181415.42572773143,172647.8757552287,8767.54997250272,0.0,unverified,172717.65368731838,8086.303187837015,,2023-11-15 12:00:00
0x4e31993d9f13f940828bf9ec2f643a7e55b21e8c,179480.50854647582,179480.50854647582,0.0,0.0,Gnosis Safe,179553.04797785886,,,2023-11-15 12:00:00
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,178160.3946530432,175510.05457200413,2650.34008103907,0.0,unverified,175580.98929167795,2444.4061925364517,,2023-11-15 12:00:00
0x0d9e269ecc319bae886dd8c8b98f7b89269c2b1b,177007.74515705177,177007.74515705177,0.0,0.0,Gnosis Safe,177079.28518826782,,,2023-11-15 12:00:00
0x9288bca9a883dbafd5625a1a11ccc9363a1aabe9,174929.30000000002,174929.30000000002,0.0,0.0,Gnosis Safe,175000.0,,,2023-11-15 12:00:00
0xfd5749e02238666fb9479b719f878a1172f2cdb6,173435.16387496,173435.16387496,0.0,0.0,,173505.26,,,2023-11-15 12:00:00
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,157269.56741548,157269.56741548,0.0,0.0,,157333.13,,,2023-11-15 12:00:00
0x8c9c63f123523260061458638ab5983462f2d265,153580.63584745562,0.0,265.27103855757684,153315.36480889804,,,244.65923222068113,745443.4736134195,2023-11-15 12:00:00
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,153209.5965695249,153209.5965695249,0.0,0.0,Pair,153271.51826290312,,,2023-11-15 12:00:00
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144941.87981416,144941.87981416,0.0,0.0,,145000.46,,,2023-11-15 12:00:00
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,143193.74324227715,143193.74324227715,0.0,0.0,,143251.61689550293,,,2023-11-15 12:00:00
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,119552.20933256041,119552.20933256041,0.0,0.0,unverified,119600.52794585052,,,2023-11-15 12:00:00
