Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,Contract,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Time
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,1.0872534816666614E7,1.0872534816666614E7,0.0,0.0,StableSwap/cUSD_USDCet,1.0946963219596652E7,,,2023-08-15 12:00:00
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,3230061.7038560295,3024619.1622024197,205442.5416536097,0.0,,3045324.32226953,189689.0553,,2023-08-15 12:00:00
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,2982943.7549591023,1030007.28618956,1952936.4687695424,0.0,,1037058.2451986657,1803183.852964679,,2023-08-15 12:00:00
0x655133d8e90f8190ed5c1f0f3710f602800c0150,2794841.1336043747,361604.4564386042,2433236.6771657704,0.0,Gnosis Safe,364079.83523839,2246654.2854162375,,2023-08-15 12:00:00
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,2546696.7601803597,2546696.7601803597,0.0,0.0,Gnosis Safe,2564130.2819674565,,,2023-08-15 12:00:00
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1083593.1919102573,0.0,1083593.1919102573,0.0,,,1000502.462871262,,2023-08-15 12:00:00
0xca31c88c2061243d70eb3a754e5d99817a311270,993201.1785069696,993201.1785069696,0.0,0.0,,1000000.1797289466,,,2023-08-15 12:00:00
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,983569.8553986751,388325.1062287085,595244.7491699666,0.0,Pair,390983.40238150035,549600.9406499305,,2023-08-15 12:00:00
0x918146359264c492bd6934071c6bd31c854edbc3,927762.090928539,927762.090928539,0.0,0.0,ATokenV4,934113.1260727074,,,2023-08-15 12:00:00
0x0708501b884f5637159e61566581cd5933e36e21,654667.0592470119,80863.7460946077,573803.3131524042,0.0,,81417.30233317093,529803.6498370842,,2023-08-15 12:00:00
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,615086.9956257114,0.0,615086.9956257114,0.0,,,567921.6689417666,,2023-08-15 12:00:00
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,581180.6315516328,581180.6315516328,0.0,0.0,StableSwap,585159.1284660737,,,2023-08-15 12:00:00
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,446560.8155326237,222398.63503763342,224162.18049499026,0.0,Pair,223921.0744226329,206973.2583613394,,2023-08-15 12:00:00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,422110.87993460405,0.0,422110.87993460405,0.0,,,389743.10482222325,,2023-08-15 12:00:00
0x2de97fafc45bc2ab0a08a1d78069674a18810dcf,402535.1913026584,402535.1913026584,0.0,0.0,Gnosis Safe,405290.76320166653,,,2023-08-15 12:00:00
0x573dee1fe5bbd090c61faa82873d5174f25c9686,363283.1219934462,363283.1219934462,0.0,0.0,Gnosis Safe,365769.99217021145,,,2023-08-15 12:00:00
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,347620.35,347620.35,0.0,0.0,,350000.0,,,2023-08-15 12:00:00
0xf9979714c5beab995d50a062f4498a4290edef79,326750.36435158405,304964.8180564589,20987.761349780332,797.784945344866,,307052.4677849286,19378.40425482165,3973.2195413588597,2023-08-15 12:00:00
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,322127.49174053,0.0,322127.49174053,0.0,mCEUR,,297426.51693554956,,2023-08-15 12:00:00
0xaf106f8d4756490e7069027315f4886cc94a8f73,313505.03236553865,245304.5151188025,68200.51724673618,0.0,unverified,246983.75768731858,62970.851038813744,,2023-08-15 12:00:00
