Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,Contract,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Time
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,9206644.818769237,3007132.184996557,6199512.633772681,0.0,,3029157.1869025254,5719608.85296468,,2023-01-15 12:00:00
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,2755226.24704981,0.0,2755226.24704981,0.0,,,2541944.4020000002,,2023-01-15 12:00:00
0x2962518b087b3ae071ca4d737c7d874af04b2142,2479654.1450439105,1726.4490843652393,2200831.3526067934,277096.34335275186,unverified,1739.0940371090594,2030465.1723230297,1410412.8321779924,2023-01-15 12:00:00
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,2221092.7155627375,0.0,2221092.7155627375,0.0,,,2049158.104781081,,2023-01-15 12:00:00
0xba9c43e14aabe514015c541f088b27251253bf00,1616446.0738183085,1616446.0738183085,0.0,0.0,,1628285.3365,,,2023-01-15 12:00:00
0x796dff6d74f3e27060b71255fe517bfb23c93eed,1551923.5207889597,540549.1977754121,1011374.3230135476,0.0,TokenBridge,544508.3177538,933083.91696094,,2023-01-15 12:00:00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1519891.6554760998,13542.155443767982,1506349.5000323318,0.0,,13641.341638823871,1389743.1048222233,,2023-01-15 12:00:00
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,1010266.5563828829,928001.0609092329,82265.49547365,0.0,,934797.977,75897.33,,2023-01-15 12:00:00
0xca31c88c2061243d70eb3a754e5d99817a311270,992729.1784221374,992729.1784221374,0.0,0.0,,1000000.1797289466,,,2023-01-15 12:00:00
0x655133d8e90f8190ed5c1f0f3710f602800c0150,890049.0314715019,608216.9839684941,281832.0475030078,0.0,Gnosis Safe,612671.720044941,260015.45108012957,,2023-01-15 12:00:00
0x0708501b884f5637159e61566581cd5933e36e21,763945.3335120056,438597.04408178,325348.2894302256,0.0,,441809.4405238288,300163.104174467,,2023-01-15 12:00:00
0x7b1eefdc75e5459901addb46a07152005b5fbbf9,723552.2192893,723552.2192893,0.0,0.0,,728851.7000000001,,,2023-01-15 12:00:00
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,681945.6159789322,310477.510501103,371468.1054778293,0.0,,312751.5268528501,342712.78892322606,,2023-01-15 12:00:00
0x4f369ee454c77ccf765792382b909ed888c57a47,622558.1792299999,0.0,622558.1792299999,0.0,,,574366.0,,2023-01-15 12:00:00
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,590708.1728393204,0.0,590708.1728393204,0.0,mCEUR,,544981.5000754867,,2023-01-15 12:00:00
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,487156.30619647226,242477.96967567297,244678.33652079932,0.0,Pair,244253.94007395068,225737.80591546246,,2023-01-15 12:00:00
0x1e32760a3285550278aeafa776e5641bc581c845,450253.70483366394,449652.1494333161,601.5554003478678,0.0,,452945.516282204,554.9890445637467,,2023-01-15 12:00:00
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,399293.7001186792,349924.8807794619,49368.8193392173,0.0,Pair,352487.8197166214,45547.18295350359,,2023-01-15 12:00:00
0x918146359264c492bd6934071c6bd31c854edbc3,391875.7133719382,391875.7133719382,0.0,0.0,ATokenV4,394745.91089001956,,,2023-01-15 12:00:00
0xaf106f8d4756490e7069027315f4886cc94a8f73,307881.84785861126,259201.32860175607,48680.51925685517,0.0,unverified,261099.78513950543,44912.16412587374,,2023-01-15 12:00:00
