Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,Contract,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Time
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,1.1111327538469974E7,1.1111327538469974E7,0.0,0.0,StableSwap/cUSD_USDCet,1.1147311058567028E7,,,2023-05-15 12:00:00
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,3678323.5778948152,1730612.7359311644,1947710.8419636511,0.0,,1736217.2451986657,1803183.852964679,,2023-05-15 12:00:00
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,2296038.680631924,0.0,2296038.680631924,0.0,,,2125664.541931567,,2023-05-15 12:00:00
0x655133d8e90f8190ed5c1f0f3710f602800c0150,2063705.4936241186,134141.54205113032,1929563.9515729884,0.0,Gnosis Safe,134575.95322815079,1786383.525611686,,2023-05-15 12:00:00
0x0d0707963952f2fba59dd06f2b425ace40b492fe,1934568.0771672619,977449.8911324412,957118.1860348206,0.0,,980615.317376934,886096.6531853607,,2023-05-15 12:00:00
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1550559.4207728566,0.0,1550559.4207728566,0.0,,,1435502.4628712619,,2023-05-15 12:00:00
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,1190849.7861393616,1190849.7861393616,0.0,0.0,,1194706.29806953,,,2023-05-15 12:00:00
0x612a7c4e40eacb63dadad4939dfedb9d3397e6fd,1096449.2,1096449.2,0.0,0.0,,1100000.0,,,2023-05-15 12:00:00
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,1075362.6201755134,1075362.6201755134,0.0,0.0,StableSwap,1078845.1322624567,,,2023-05-15 12:00:00
0xca31c88c2061243d70eb3a754e5d99817a311270,996772.1791487816,996772.1791487816,0.0,0.0,,1000000.1797289466,,,2023-05-15 12:00:00
0x7b1eefdc75e5459901addb46a07152005b5fbbf9,726497.9699404,726497.9699404,0.0,0.0,,728850.7,,,2023-05-15 12:00:00
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,606283.3168448154,355303.2163534646,250980.10049135075,0.0,Pair,356453.84937926085,232356.49505610857,,2023-05-15 12:00:00
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,578067.5383086398,578067.5383086398,0.0,0.0,Gnosis Safe,579939.5832834789,,,2023-05-15 12:00:00
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,451789.4129668835,225449.08700875935,226340.32595812416,0.0,Pair,226179.19344520045,209545.07838082282,,2023-05-15 12:00:00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,420981.4044168293,0.0,420981.4044168293,0.0,,,389743.10482222325,,2023-05-15 12:00:00
0x918146359264c492bd6934071c6bd31c854edbc3,358890.63680628577,358890.63680628577,0.0,0.0,ATokenV4,360052.8875272236,,,2023-05-15 12:00:00
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,348870.2,348870.2,0.0,0.0,,350000.0,,,2023-05-15 12:00:00
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,348472.2193710149,0.0,348472.2193710149,0.0,mCEUR,,322614.35611411266,,2023-05-15 12:00:00
0xf9979714c5beab995d50a062f4498a4290edef79,329335.92078530695,307612.6924187901,20914.2138557283,809.0145107886322,,308608.88188952947,19362.305692193313,3973.2195413588597,2023-05-15 12:00:00
0xaf106f8d4756490e7069027315f4886cc94a8f73,326594.1061254818,254512.41035979436,72081.69576568743,0.0,unverified,255336.63702410817,66732.98063482552,,2023-05-15 12:00:00
0x4f369ee454c77ccf765792382b909ed888c57a47,316952.7233821766,15126.33406704,301826.3893151366,0.0,,15175.32,279429.8105682785,,2023-05-15 12:00:00
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,288705.3151832598,288705.3151832598,0.0,0.0,,289640.273987692,,,2023-05-15 12:00:00
0x1e32760a3285550278aeafa776e5641bc581c845,247352.03855689193,246643.788156128,708.250400763935,0.0,,247442.53265152712,655.6957321373909,,2023-05-15 12:00:00
0xbbbd1bbb4f9b936c3604906d7592a644071de884,233739.71592968068,224875.5757180749,8864.140211605787,0.0,unverified,225603.82486473827,8206.389858090013,,2023-05-15 12:00:00
0x0708501b884f5637159e61566581cd5933e36e21,226411.24748821667,55237.264224089755,171173.98326412693,0.0,,55416.14754837591,158472.27217687797,,2023-05-15 12:00:00
0xf89d7b9c864f589bbf53a82105107622b35eaa40,223614.87784473592,223614.87784473592,0.0,0.0,,224339.0442796707,,,2023-05-15 12:00:00
0x2962518b087b3ae071ca4d737c7d874af04b2142,222026.4434923278,0.0,0.0,222026.4434923278,unverified,,,1090412.8321779924,2023-05-15 12:00:00
0xd108165e54ba435102f965f15ca5dd3101fcd1a9,219788.226,219788.226,0.0,0.0,,220500.0,,,2023-05-15 12:00:00
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,218080.6727358636,218080.6727358636,0.0,0.0,Gnosis Safe,218786.9169036285,,,2023-05-15 12:00:00
0x424512429f16bd8c17ab3137341d2cb069bd18db,188490.58197199999,188490.58197199999,0.0,0.0,,189101.0,,,2023-05-15 12:00:00
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,185622.3878311554,183023.74325638826,2598.6445747671523,0.0,unverified,183616.45718016583,2405.8160153229983,,2023-05-15 12:00:00
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,172719.44918237836,124259.62773380132,48459.821448577044,0.0,,124662.03678855477,44863.93240257801,,2023-05-15 12:00:00
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,156825.25865636,156825.25865636,0.0,0.0,,157333.13,,,2023-05-15 12:00:00
0xa6314811afbce6d29d7eb4394d8fa583d0fd0363,149515.8,149515.8,0.0,0.0,,150000.0,,,2023-05-15 12:00:00
0x044ff4731885e0b9dc39d49962d47fa318ded59b,144692.21777182937,1230.0855138749464,143462.13225795442,0.0,,1234.069088893896,132816.73789864048,,2023-05-15 12:00:00
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144532.39851512,144532.39851512,0.0,0.0,,145000.46,,,2023-05-15 12:00:00
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,142789.20067616424,142789.20067616424,0.0,0.0,,143251.61689550293,,,2023-05-15 12:00:00
0xddccf2341e4503af58788e7f71f82f69a0c65402,129876.10225240001,129876.10225240001,0.0,0.0,,130296.70000000001,,,2023-05-15 12:00:00
0x2de97fafc45bc2ab0a08a1d78069674a18810dcf,125991.74476605158,125991.74476605158,0.0,0.0,Gnosis Safe,126399.76320166656,,,2023-05-15 12:00:00
0x796dff6d74f3e27060b71255fe517bfb23c93eed,125118.39278708615,199.2432203999902,124919.14956668616,0.0,TokenBridge,199.88846035,115649.70968567001,,2023-05-15 12:00:00
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,119214.45744164132,119214.45744164132,0.0,0.0,unverified,119600.52794585052,,,2023-05-15 12:00:00
0xa228228fba1dbb76cbfced5abe2644d4ff00adc5,118159.39594810233,118159.39594810233,0.0,0.0,,118542.04968448385,,,2023-05-15 12:00:00
0x74645efa0029302479c9fd0c497ee56e747d7299,117757.72092440043,63750.17092440044,54007.549999999996,0.0,,63956.62290313175,49999.99999999999,,2023-05-15 12:00:00
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,113964.77191939224,113964.77191939224,0.0,0.0,,114333.84155994774,,,2023-05-15 12:00:00
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,110565.66968430381,110565.66968430381,0.0,0.0,Pair,110923.73148955208,,,2023-05-15 12:00:00
0xab9952041329fda60288d17116b8cb959c920713,109117.627612,109117.627612,0.0,0.0,,109471.0,,,2023-05-15 12:00:00
0xdc4690982cff5fa3a098cd336aead7767ab82452,108694.71225306035,108694.71225306035,0.0,0.0,,109046.7150492393,,,2023-05-15 12:00:00
0x8db03959b359e756468fa75e747771810b4fc4e6,96672.22146488943,96672.22146488943,0.0,0.0,,96985.28998094793,,,2023-05-15 12:00:00
0x1d918355014cfff2da56392af32771618a291de8,93764.8032120411,0.0,0.0,93764.8032120411,Gnosis Safe,,,460496.25,2023-05-15 12:00:00
0x999842883912c40027901c1ea35bafd8bd1a42f1,92823.31975069849,92823.31975069849,0.0,0.0,,93123.9237766495,,,2023-05-15 12:00:00
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,92415.738584899,10435.161688068985,81980.57689683001,0.0,,10468.955476346633,75897.33,,2023-05-15 12:00:00
0xac19b8ab514623144cbc92c9c4acb3583e594be3,91486.07769970187,91486.07769970187,0.0,0.0,,91782.35112914676,,,2023-05-15 12:00:00
0x1d658605710644b243ab3be33b83d00eafa2fd5e,87331.14870975963,87331.14870975963,0.0,0.0,,87613.96659392482,,,2023-05-15 12:00:00
0xdc55d1fd1c04e005051a40bd59c5f95623257bc5,85816.73019397448,85816.73019397448,0.0,0.0,Pair,86094.64370385051,,,2023-05-15 12:00:00
0xc2fd7bd1c2a86b57f8da0837d32aa9ca86cc1d6b,81577.00787691429,40695.31058628841,40881.69729062588,0.0,UniswapV2Pair,40827.10046659458,37848.13168772318,,2023-05-15 12:00:00
0x5d7083a4124fb2979c4505cd75ae606d5a4435d3,79741.76,79741.76,0.0,0.0,,80000.0,,,2023-05-15 12:00:00
0x9c958c5b147a07d9b77d20bb5c8f617fa9ba5ed7,79741.76,79741.76,0.0,0.0,Gnosis Safe,80000.0,,,2023-05-15 12:00:00
0x12b73856075fcfd404a66d174adf2bc86f538347,74088.3856101096,74088.3856101096,0.0,0.0,Pair,74328.3174187373,,,2023-05-15 12:00:00
0x45d8175279d9cb398f1666c14476c7a41d6c46dc,73046.2688528433,68963.18934448285,2705.57401843055,1377.5054899299143,,69186.52344215412,2504.810918501719,6765.183637538719,2023-05-15 12:00:00
0xdc553892cdeeed9f575aa0fba099e5847fd88d20,72149.9955778,72149.9955778,0.0,0.0,unverified,72383.65,,,2023-05-15 12:00:00
0x69ef304b255449855ecae5466d721d45387ad2d5,71634.65455952476,71634.65455952476,0.0,0.0,unverified,71866.6400736826,,,2023-05-15 12:00:00
0x924531e9baf2862f0deeda90dac18eb53cde859a,69774.04,69774.04,0.0,0.0,,70000.0,,,2023-05-15 12:00:00
0x1e593f1fe7b61c53874b54ec0c59fd0d5eb8621e,67709.30490368464,67709.30490368464,0.0,0.0,UniswapV2Pair,67928.57835461333,,,2023-05-15 12:00:00
0x9ef2923c36c8b24a1c86851ec686d6dcbaeb2467,66782.7271014228,66782.7271014228,0.0,0.0,,66998.99987301289,,,2023-05-15 12:00:00
0xd1d8042ad72c1e22320708e1553f2dd09ca96fba,64711.2595297369,25734.578111288585,38976.68141844831,0.0,,25817.918351727963,36084.47468775042,,2023-05-15 12:00:00
0x904d01bb87c41f178e5f0aa73c8eaa076c3094b8,62293.26614,62293.26614,0.0,0.0,,62495.0,,,2023-05-15 12:00:00
0xc9d09ba972b4eb6bb7347f2229fb6d50434ffca6,62098.895599999996,62098.895599999996,0.0,0.0,Gnosis Safe,62300.0,,,2023-05-15 12:00:00
0xe971f568c6cfb436c88ea943e5dde716d89a3b21,61540.74556457337,6791.155505099528,47492.343786679856,7257.246272793985,,6813.148347966765,43968.2449830439,35641.67554845294,2023-05-15 12:00:00
0x9871a7f7eda940aaa5313347ea84ec667dd6ec46,61480.927643471616,61480.927643471616,0.0,0.0,,61680.03078283862,,,2023-05-15 12:00:00
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,61230.60104598159,61230.60104598159,0.0,0.0,Pair,61428.893514245574,,,2023-05-15 12:00:00
0xaaa6d28f04c9efdb39f77497cefeaf0b36cd9217,60188.033519227276,60188.033519227276,0.0,0.0,,60382.94968079689,,,2023-05-15 12:00:00
0xbfa290a08331f73f64a4ab1f298d5b8e3323099e,59807.2170948,59807.2170948,0.0,0.0,,60000.9,,,2023-05-15 12:00:00
0x29b22526e641cd489375288c62a59093ba4e8963,58042.50647309981,58042.50647309981,0.0,0.0,,58230.474444607,,,2023-05-15 12:00:00
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,56946.518446727416,56946.518446727416,0.0,0.0,,57130.93711172406,,,2023-05-15 12:00:00
0xa3a3648c7587f41a1278756e00dd05df1c8cb1d2,56803.25391916344,56803.25391916344,0.0,0.0,,56987.208628616616,,,2023-05-15 12:00:00
0x843809614e958ac8a4bc18b3d9d9a46468b51eef,52605.34134383681,30998.94600523559,21606.395338601218,0.0,unverified,31099.334657510033,20003.1248766156,,2023-05-15 12:00:00
0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6,52424.288901214255,52424.288901214255,0.0,0.0,,52594.062535077486,,,2023-05-15 12:00:00
0xc0ba93d4aaf90d39924402162ee4a213300d1d60,50903.124625331606,50903.124625331606,0.0,0.0,unverified,51067.972039073735,,,2023-05-15 12:00:00
0x9be5da31c7a42d7e045189ac1822d1fa5838e635,50074.31186941157,50074.31186941157,0.0,0.0,StableSwap,50236.47521139395,,,2023-05-15 12:00:00
0xe81ef36fcb902b5784994bf301ad6b47749c3892,49795.71172299496,393.7405525895721,49314.61162815512,87.35954225026165,,395.015663150221,45655.29414698049,429.03883152176184,2023-05-15 12:00:00
0x5776b4893faca32a9224f18950406c9599f3b013,49477.761923569306,49477.761923569306,0.0,0.0,,49637.99336615526,,,2023-05-15 12:00:00
0x36857bffc2b4c2860c305215c6741b7da4e8b883,49286.901776295985,49286.901776295985,0.0,0.0,,49446.515127126346,,,2023-05-15 12:00:00
0xcf5b7f0288fe863ce2941a0c24fcdc3d8a4443fc,49222.62318562214,49222.62318562214,0.0,0.0,,49382.028373210866,,,2023-05-15 12:00:00
0x51514b3dc24afc1db95586242b99f0063bea17c5,49005.26417417227,49005.26417417227,0.0,0.0,Pair,49163.96545465991,,,2023-05-15 12:00:00
0x079e7a44f42e9cd2442c3b9536244be634e8f888,48775.7950194287,48775.7950194287,0.0,0.0,Pair,48933.75317467655,,,2023-05-15 12:00:00
0x93887e0fa9f6c375b2765a6fe885593f16f077f9,47987.8254146111,47987.8254146111,0.0,0.0,Pair,48143.23176675418,,,2023-05-15 12:00:00
0xdb79ac912b73edfcf8a008603b7daea2dca842ed,47737.66661270598,0.0,47737.66661270598,0.0,,,44195.363993280545,,2023-05-15 12:00:00
0x78faecd5e33141b47b99a075aad83f885431e297,47240.50393484178,47240.50393484178,0.0,0.0,Gnosis Safe,47393.490120952214,,,2023-05-15 12:00:00
0xafadc4302f07e9460eb4c31ec741c0f3e308ff3a,46323.60202828889,46323.60202828889,0.0,0.0,,46473.61887000126,,,2023-05-15 12:00:00
0xc5aede76095c8c086684e97a0af01e88a84fda0b,45926.74284143645,45926.74284143645,0.0,0.0,,46075.47447303541,,,2023-05-15 12:00:00
0x2fc376998c1e647976825ea82b2741e948817a93,45878.904565716424,45878.904565716424,0.0,0.0,,46027.48127527301,,,2023-05-15 12:00:00
0x2e6fb6b3c8184c0c0024c6059718c59f0c67beb0,44829.80800637019,44829.80800637019,0.0,0.0,,44974.98726526246,,,2023-05-15 12:00:00
0x420eb07d9894566a68841e13968b54eddbd74d1c,44659.4538585454,44659.4538585454,0.0,0.0,,44804.08143341245,,,2023-05-15 12:00:00
0xb5bbea2325a8f5a0130a1aaa372ba768f1c62c43,44585.45037518727,44585.45037518727,0.0,0.0,,44729.83829319771,,,2023-05-15 12:00:00
0xdc81e2ec0f63e08a6d246ab1d55f84e0d7bda862,44291.689784973474,44291.689784973474,0.0,0.0,,44435.126372905215,,,2023-05-15 12:00:00
0x7088fc3f9defaf866ca2f67e87521822f1fa45b5,43573.00529647138,43573.00529647138,0.0,0.0,,43714.11445794162,,,2023-05-15 12:00:00
0xda2069f47d252121c2288301d6ef50b87220a693,42988.34687311913,42988.34687311913,0.0,0.0,unverified,43127.56264533829,,,2023-05-15 12:00:00
