Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,Contract,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Time
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,1.1242993193547187E7,1.1242993193547187E7,0.0,0.0,StableSwap/cUSD_USDCet,1.1287057867461758E7,,,2023-06-15 12:00:00
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,3635194.452574503,1730276.76980941,1904917.6827650932,0.0,,1737058.2451986657,1803183.852964679,,2023-06-15 12:00:00
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,3233826.4982263604,3033435.3761153896,200391.1221109707,0.0,,3045324.32226953,189689.0553,,2023-06-15 12:00:00
0x655133d8e90f8190ed5c1f0f3710f602800c0150,2878502.458228442,127378.09782820729,2751124.360400235,0.0,Gnosis Safe,127877.3309281508,2604198.1073799646,,2023-06-15 12:00:00
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,2554119.9173466554,2554119.9173466554,0.0,0.0,Gnosis Safe,2564130.2819674565,,,2023-06-15 12:00:00
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1056949.8113239957,0.0,1056949.8113239957,0.0,,,1000502.462871262,,2023-06-15 12:00:00
0xca31c88c2061243d70eb3a754e5d99817a311270,996096.1790272848,996096.1790272848,0.0,0.0,,1000000.1797289466,,,2023-06-15 12:00:00
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,931128.5802810069,931128.5802810069,0.0,0.0,StableSwap,934777.953411124,,,2023-06-15 12:00:00
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,732228.0637492711,0.0,732228.0637492711,0.0,,,693122.7701785666,,2023-06-15 12:00:00
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,601707.8635189305,357118.11259486707,244589.75092406344,0.0,Pair,358517.7659531482,231527.21687518252,,2023-06-15 12:00:00
0x0708501b884f5637159e61566581cd5933e36e21,593978.528917696,64164.81102728657,529813.7178904094,0.0,,64416.29223216092,501518.54320152267,,2023-06-15 12:00:00
0x918146359264c492bd6934071c6bd31c854edbc3,538268.5118468977,538268.5118468977,0.0,0.0,ATokenV4,540378.1481372254,,,2023-06-15 12:00:00
