Address,Total cStables in USD,Contract,Beneficiary,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Date
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,1470.4423603827877,Validator Group,,1470.1203245547772,0.3220358280105065,0,1466.6077988764682,0.29983708926936015,0,2024-02-15 
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,1398.9831195377403,Validator Group,,1398.9831195377403,0,0,1395.640560395593,0,0,2024-02-15 
0x2af540161cbeb58fdc99b159c76e390598860510,1320.2175639315922,Validator Group,,1320.2175639315922,0,0,1317.063197573404,0,0,2024-02-15 
0x7e11e85faa97652623929c9677e442e219ce0bbd,1246.6893906513078,Validator Group,,1246.6893906513078,0,0,1243.710703516386,0,0,2024-02-15 
0x95ae59515915d6c493a846ae022f93726652b50a,1066.0840756825191,Validator Group,,1066.0840756825191,0,0,1063.536904795534,0,0,2024-02-15 
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,987.6073873616183,Validator Group,,987.6073873616183,0,0,985.247719074435,0,0,2024-02-15 
0x3d451dd723797b3de938c5b22412032b6452591a,967.6000180531466,Validator Group,,967.6000180531466,0,0,965.2881529268868,0,0,2024-02-15 
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,959.4865448961049,Validator Group,,959.4865448961049,0,0,957.1940651101661,0,0,2024-02-15 
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,945.1907130220652,Validator Group,,945.1907130220652,0,0,942.9323899481395,0,0,2024-02-15 
0xd72ed2e3db984bac3bb351fe652200de527effcf,867.3327295951696,Validator Group,,867.3327295951696,0,0,865.2604308632522,0,0,2024-02-15 
0x07fa1874ad4655ad0c763a7876503509be11e29e,755.7379659352877,Validator Group,,751.3344183352876,4.4035476,0,749.5392717793761,4.1,0,2024-02-15 
0x8851f4852ce427191dc8d9065d720619889e3260,633.312165901308,Validator Group,,633.312165901308,0,0,631.7990072788751,0,0,2024-02-15 
0x71dcc67baeecd9308e341359f70b782d9c3565b8,554.8899565054362,Validator Group,,554.8899565054362,0,0,553.5641703175257,0,0,2024-02-15 
0xf83c93ea360b66ddcd532960304948b1c10786a1,524.0461544305214,Validator Group,,524.0461544305214,0,0,522.7940626504735,0,0,2024-02-15 
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,508.29871526338724,Validator Group,,508.29871526338724,0,0,507.0842484882579,0,0,2024-02-15 
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,490.874313314401,Validator Group,,490.874313314401,0,0,489.7014782739349,0,0,2024-02-15 
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,451.1837912875704,Validator Group,,451.1837912875704,0,0,450.10578792548887,0,0,2024-02-15 
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,430.12330060150424,Validator Group,,430.12330060150424,0,0,429.09561659974787,0,0,2024-02-15 
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,386.74400227287816,Validator Group,,386.74400227287816,0,0,385.81996346039057,0,0,2024-02-15 
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,338.25849280792204,Validator Group,,338.25849280792204,0,0,337.45029934100035,0,0,2024-02-15 
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,332.21062202759595,Validator Group,,332.21062202759595,0,0,331.416878603341,0,0,2024-02-15 
0x34649ada2cb44d851a2103feaa8922deddabfc1c,294.8374341989918,Validator Group,,294.8374341989918,0,0,294.1329856982445,0,0,2024-02-15 
0x8eb004dad9397b8f23e1279905c584920000756d,282.72088769434384,Validator Group,,282.72088769434384,0,0,282.0453889877183,0,0,2024-02-15 
0x0d4f8cea48cdadeae345431577a64983c0535b12,270.9910294829525,Validator Group,,270.9910294829525,0,0,270.3435566647405,0,0,2024-02-15 
0xc64df5be250264bf2888591d87cdeb13bfadc501,228.66114217960532,Validator Group,,228.66114217960532,0,0,228.11480721632225,0,0,2024-02-15 
0x4d5a51039ea45063d4b665b21755db20a738dadc,223.32676226280918,Validator Group,,223.32676226280918,0,0,222.79317261439772,0,0,2024-02-15 
0xb434feb47d6154b4b4058df5c9fced123db9abf6,141.45074065843548,Validator Group,,141.45074065843548,0,0,141.11277556096698,0,0,2024-02-15 
0x061e9958028dcaa66fd8b255ad95194203b6c4da,94.11711181741401,Validator Group,,94.11711181741401,0,0,93.8922399028467,0,0,2024-02-15 
0xc7d5409fee80b3ac37dbc111664dc511a5982469,85.62232452358055,Validator Group,,85.62232452358055,0,0,85.41774901469037,0,0,2024-02-15 
0xfaa0b40645ee5e8d9ae38393e8cdf8e5baa71d13,1.002395,Validator Group,,1.002395,0,0,1,0,0,2024-02-15 
0x01b2b83fdf26afc3ca7062c35bc68c8dde56db04,0.4046980759791618,Validator Group,,0.4046980759791618,0,0,0.4037311398991035,0,0,2024-02-15 
0xa1e923892df867fb5cb7575cca2538c394ad1bd9,0.3708527421556913,Validator Group,,0.3708527421556913,0,0,0.36996667197630806,0,0,2024-02-15 
0xbd630a811ed48a57efdf5f7869563b47a0194a5d,0.12329458499999998,Validator Group,,0.12329458499999998,0,0,0.123,0,0,2024-02-15 
0xd491e5ec7bbb4c6ea9ee522f21f6621706e65a3e,0.07755433216781661,Validator Group,,0.07755433216781661,0,0,0.07736903333298412,0,0,2024-02-15 
0xb36b0747312e444b6258120a7d3ba7b170e83476,0.009197621747140793,Validator Group,,0.009197621747140793,0,0,0.009175646074791668,0,0,2024-02-15 
0xbb59448319755708d06dacaac017308129fffdbb,0,Validator Group,,0,0,0,0,0,0,2024-02-15 
0x47b2db6af05a55d42ed0f3731735f9479abf0673,0,Validator Group,,0,0,0,0,0,0,2024-02-15 
