Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Date
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,536727.8885028291,536727.8885028291,0,0,538466.0569346141,0,0,2023-05-15 
0x35ae10f412503abcf9275133613e8df7f56e72be,198452.77791733525,198452.77791733525,0,0,199095.45805593982,0,0,2023-05-15 
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,123628.33198900051,123628.33198900051,0,0,124028.69662169534,0,0,2023-05-15 
0x602b65795bcc64b2fb329ac004236e194f077158,118692.6663504653,118692.6663504653,0,0,119077.04705836972,0,0,2023-05-15 
0x0e912990472bfe5948b5b7333ecf528d5da887cf,92051.74943670497,92051.74943670497,0,0,92349.85476789574,0,0,2023-05-15 
0x7dbb949346aeda9233218831455d57eb8344af82,85982.8721266137,85982.8721266137,0,0,86261.32367945097,0,0,2023-05-15 
0x47b2db6af05a55d42ed0f3731735f9479abf0673,75099.22425865965,75099.22425865965,0,0,75342.42962147779,0,0,2023-05-15 
0x69cd274c6acbc08f664ed7b2d54aab6615bc1d70,72090.0640507073,71982.04895070729,108.0151,0,72215.15948552657,100,0,2023-05-15 
0xd19fb36b7f433fe13820767ef6d0e26fdbab68cc,70407.01949061941,70407.01949061941,0,0,70635.02936541096,0,0,2023-05-15 
0xc24baeac0fd189637112b7e33d22fff2730af993,69568.20964345147,69568.20964345147,0,0,69793.50307136583,0,0,2023-05-15 
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,63814.03057932042,63814.03057932042,0,0,64020.689364589314,0,0,2023-05-15 
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,62665.701519449176,62665.701519449176,0,0,62868.64149419243,0,0,2023-05-15 
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,48029.20045314856,48029.20045314856,0,0,48184.740796439466,0,0,2023-05-15 
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,45590.18565602962,45590.18565602962,0,0,45737.8273627566,0,0,2023-05-15 
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,20308.277167138644,20308.277167138644,0,0,20374.04458305274,0,0,2023-05-15 
0x0861a61bf679a30680510ecc238ee43b82c5e843,19909.946503982002,19909.946503982002,0,0,19974.423944474765,0,0,2023-05-15 
0x614b7654ba0cc6000abe526779911b70c1f7125a,18102.333302927836,18102.333302927836,0,0,18160.956871709717,0,0,2023-05-15 
0xc764293de02189e248a8040a3d1b04eec599aa31,17678.901416698714,17678.901416698714,0,0,17736.153720909813,0,0,2023-05-15 
0x5402172e972b31fc9f0383f53f45823ab5037379,16543.385365517934,16543.385365517934,0,0,16596.960353539158,0,0,2023-05-15 
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,15588.664654701373,15588.664654701373,0,0,15639.147823876849,0,0,2023-05-15 
0x7194dfe766a92308880a943fd70f31c8e7c50e66,13685.318126368877,13685.318126368877,0,0,13729.637395882786,0,0,2023-05-15 
0x81cef0668e15639d0b101bdc3067699309d73bed,12967.997983910154,12967.997983910154,0,0,13009.994245334094,0,0,2023-05-15 
0x8a12cab622b8093208931fa008d12d6ba5af47e4,10810.387202890617,10810.387202890617,0,0,10845.396141635818,0,0,2023-05-15 
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,9837.245492483236,9837.245492483236,0,0,9869.102956827877,0,0,2023-05-15 
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,6931.07752155816,6931.07752155816,0,0,6953.523495401315,0,0,2023-05-15 
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,6428.839299544451,6428.839299544451,0,0,6449.658798144863,0,0,2023-05-15 
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,5989.539385043761,5989.539385043761,0,0,6008.9362311980685,0,0,2023-05-15 
0x81383e7c8801b102f742f4f5a5fad06867212b05,5690.227532615658,5690.227532615658,0,0,5708.655071185444,0,0,2023-05-15 
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,5397.279682802889,5397.279682802889,0,0,5414.7585233161535,0,0,2023-05-15 
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,4913.900719661902,4913.900719661902,0,0,4929.8141597696385,0,0,2023-05-15 
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,4754.07354457561,4754.07354457561,0,0,4769.469391772251,0,0,2023-05-15 
0xd72ed2e3db984bac3bb351fe652200de527effcf,4289.592984864541,4289.592984864541,0,0,4303.484633260707,0,0,2023-05-15 
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4109.888007470649,4109.888007470649,0,0,4123.197689612719,0,0,2023-05-15 
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,4101.221149407661,4101.221149407661,0,0,4114.502764330921,0,0,2023-05-15 
0x2af540161cbeb58fdc99b159c76e390598860510,3409.721288387601,3409.721288387601,0,0,3420.7635130075896,0,0,2023-05-15 
0x8580db53c3ebc56230662b771cef2707e92ef83a,2732.1478053802725,2732.1478053802725,0,0,2740.995739627791,0,0,2023-05-15 
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,2714.8306538926836,2714.8306538926836,0,0,2723.622507346398,0,0,2023-05-15 
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,2528.6989491686304,2528.6989491686304,0,0,2536.8880237091635,0,0,2023-05-15 
0x95ae59515915d6c493a846ae022f93726652b50a,2349.2113773049123,2349.2113773049123,0,0,2356.8191896490994,0,0,2023-05-15 
0xf83c93ea360b66ddcd532960304948b1c10786a1,2209.074829183095,2209.074829183095,0,0,2216.228815800499,0,0,2023-05-15 
0x8851f4852ce427191dc8d9065d720619889e3260,1860.7340994417336,1860.7340994417336,0,0,1866.760000724071,0,0,2023-05-15 
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,1565.9518134763418,1565.9518134763418,0,0,1571.0230759655587,0,0,2023-05-15 
0x81ae1c73a326325216e25ff1af9ea3871195036e,1431.0641291731156,1431.0641291731156,0,0,1435.6985641381536,0,0,2023-05-15 
0x067e453918f2c44d937b05a7ee9dbfb804c54add,1392.0785286201678,1392.0785286201678,0,0,1396.586710521732,0,0,2023-05-15 
0x4a34787893c8e26411be77259fe7fa184d471d9a,1328.4414398283454,1328.4414398283454,0,0,1332.7435359624321,0,0,2023-05-15 
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,1201.5895502668975,1201.5895502668975,0,0,1205.4808424262494,0,0,2023-05-15 
