Address,Total cStables in USD,Contract,Beneficiary,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Date
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,175308.3478595107,Validator Group,,175308.3478595107,0,0,175303.78996097168,0,0,2023-10-15 
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,116449.61314590726,Validator Group,,116449.61314590726,0,0,116446.58553468336,0,0,2023-10-15 
0x0e912990472bfe5948b5b7333ecf528d5da887cf,116445.25868969534,Validator Group,,116445.25868969534,0,0,116442.23119168435,0,0,2023-10-15 
0x602b65795bcc64b2fb329ac004236e194f077158,97437.87678406926,Validator Group,,97437.87678406926,0,0,97435.34346513916,0,0,2023-10-15 
0x69cd274c6acbc08f664ed7b2d54aab6615bc1d70,86616.89760205579,Validator Group,,86511.51150205579,105.3861,0,86509.26226123699,100,0,2023-10-15 
0x47b2db6af05a55d42ed0f3731735f9479abf0673,62476.59402198534,Validator Group,,62476.59402198534,0,0,62474.96967277384,0,0,2023-10-15 
0x0861a61bf679a30680510ecc238ee43b82c5e843,42057.81977900141,Validator Group,,42057.81977900141,0,0,42056.726304117496,0,0,2023-10-15 
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,35396.50050347695,Validator Group,,35396.50050347695,0,0,35395.58021839127,0,0,2023-10-15 
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,29781.806656570145,Validator Group,,29781.806656570145,0,0,29781.03234972905,0,0,2023-10-15 
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,27788.0036176169,Validator Group,,27788.0036176169,0,0,27787.281148307044,0,0,2023-10-15 
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,27686.93135548498,Validator Group,,27686.93135548498,0,0,27686.211513985614,0,0,2023-10-15 
0x7dbb949346aeda9233218831455d57eb8344af82,27680.13786690024,Validator Group,,27680.13786690024,0,0,27679.418202026987,0,0,2023-10-15 
0x614b7654ba0cc6000abe526779911b70c1f7125a,19794.255964689535,Validator Group,,19794.255964689535,0,0,19793.74132741502,0,0,2023-10-15 
0x5402172e972b31fc9f0383f53f45823ab5037379,18275.780207215335,Validator Group,,18275.780207215335,0,0,18275.305049284052,0,0,2023-10-15 
0x35ae10f412503abcf9275133613e8df7f56e72be,17825.19239766775,Validator Group,,17825.19239766775,0,0,17824.728954714927,0,0,2023-10-15 
0xc764293de02189e248a8040a3d1b04eec599aa31,17736.614860906557,Validator Group,,17736.614860906557,0,0,17736.153720909813,0,0,2023-10-15 
0x7194dfe766a92308880a943fd70f31c8e7c50e66,15439.276448652463,Validator Group,,15439.276448652463,0,0,15438.875037901476,0,0,2023-10-15 
0x4a34787893c8e26411be77259fe7fa184d471d9a,11219.517691599314,Validator Group,,11219.517691599314,0,0,11219.225991723528,0,0,2023-10-15 
0x34649ada2cb44d851a2103feaa8922deddabfc1c,10881.439120899851,Validator Group,,10881.439120899851,0,0,10881.156210838368,0,0,2023-10-15 
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,10561.895513979756,Validator Group,,10561.895513979756,0,0,10561.620911836048,0,0,2023-10-15 
0x81383e7c8801b102f742f4f5a5fad06867212b05,10423.674209849463,Validator Group,,10423.674209849463,0,0,10423.403201366227,0,0,2023-10-15 
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,9869.359553504755,Validator Group,,9869.359553504755,0,0,9869.102956827877,0,0,2023-10-15 
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,8304.660715520018,Validator Group,,8304.660715520018,0,0,8304.44479995522,0,0,2023-10-15 
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,8154.195470349912,Validator Group,,8154.195470349912,0,0,8153.983466779775,0,0,2023-10-15 
0x8a12cab622b8093208931fa008d12d6ba5af47e4,8104.19377720187,Validator Group,,8104.19377720187,0,0,8103.983073641954,0,0,2023-10-15 
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,7714.053692078733,Validator Group,,7714.053692078733,0,0,7713.853131897303,0,0,2023-10-15 
0x0d4f8cea48cdadeae345431577a64983c0535b12,7707.617142986429,Validator Group,,7707.617142986429,0,0,7707.416750150925,0,0,2023-10-15 
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,6438.450345574727,Validator Group,,6438.450345574727,0,0,6438.282950218021,0,0,2023-10-15 
0x067e453918f2c44d937b05a7ee9dbfb804c54add,6102.642708281532,Validator Group,,6102.642708281532,0,0,6102.484043696395,0,0,2023-10-15 
0xd72ed2e3db984bac3bb351fe652200de527effcf,5848.824912663401,Validator Group,,5848.824912663401,0,0,5848.672847169374,0,0,2023-10-15 
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,5815.332514342528,Validator Group,,5815.332514342528,0,0,5815.181319628217,0,0,2023-10-15 
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,4934.713944994867,Validator Group,,4934.713944994867,0,0,4934.585645768077,0,0,2023-10-15 
0xd19fb36b7f433fe13820767ef6d0e26fdbab68cc,4651.33848719358,Validator Group,,4651.33848719358,0,0,4651.217555537135,0,0,2023-10-15 
0x8580db53c3ebc56230662b771cef2707e92ef83a,4448.982689444306,Validator Group,,4448.982689444306,0,0,4448.867018901814,0,0,2023-10-15 
0xc24baeac0fd189637112b7e33d22fff2730af993,4321.2851155454555,Validator Group,,4321.2851155454555,0,0,4321.172765053564,0,0,2023-10-15 
0x2af540161cbeb58fdc99b159c76e390598860510,4232.440031464598,Validator Group,,4232.440031464598,0,0,4232.329990884835,0,0,2023-10-15 
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4123.304892752649,Validator Group,,4123.304892752649,0,0,4123.197689612719,0,0,2023-10-15 
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,3919.0170780758363,Validator Group,,3919.0170780758363,0,0,3918.9151862809927,0,0,2023-10-15 
0x8851f4852ce427191dc8d9065d720619889e3260,3555.294627303307,Validator Group,,3555.294627303307,0,0,3555.2021920463135,0,0,2023-10-15 
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,3275.8581390290906,Validator Group,,3275.8581390290906,0,0,3275.772968931898,0,0,2023-10-15 
0xee6c0fa803099837690d440b3108d03763ab7550,2806.5231857981785,Validator Group,,2806.5231857981785,0,0,2806.450218092508,0,0,2023-10-15 
0x061e9958028dcaa66fd8b255ad95194203b6c4da,2465.048725453692,Validator Group,,2465.048725453692,0,0,2464.9846358531595,0,0,2023-10-15 
0x81ae1c73a326325216e25ff1af9ea3871195036e,2290.376933781044,Validator Group,,2290.376933781044,0,0,2290.31738552902,0,0,2023-10-15 
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,1976.3624167525572,Validator Group,,1976.3624167525572,0,0,1976.3110326657077,0,0,2023-10-15 
0x95ae59515915d6c493a846ae022f93726652b50a,1621.9856038367866,Validator Group,,1621.9856038367866,0,0,1621.9434333075205,0,0,2023-10-15 
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,1457.9226319827492,Validator Group,,1457.6066453680146,0.31598661473449713,0,1457.5687485805513,0.29983708926936015,0,2023-10-15 
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,1182.1438494889264,Validator Group,,1182.1438494889264,0,0,1182.113114547948,0,0,2023-10-15 
0xf83c93ea360b66ddcd532960304948b1c10786a1,1124.367611860329,Validator Group,,1124.367611860329,0,0,1124.3383790624732,0,0,2023-10-15 
0x7e11e85faa97652623929c9677e442e219ce0bbd,1005.0955196215942,Validator Group,,1005.0955196215942,0,0,1005.0693878175109,0,0,2023-10-15 
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,885.809138964198,Validator Group,,885.809138964198,0,0,885.7861085253763,0,0,2023-10-15 
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,792.4520145355269,Validator Group,,792.4520145355269,0,0,792.4314113188326,0,0,2023-10-15 
0x81cef0668e15639d0b101bdc3067699309d73bed,789.9032381255332,Validator Group,,789.9032381255332,0,0,789.8827011753026,0,0,2023-10-15 
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,429.1067730857795,Validator Group,,429.1067730857795,0,0,429.09561659974787,0,0,2023-10-15 
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,385.8299947794406,Validator Group,,385.8299947794406,0,0,385.81996346039057,0,0,2023-10-15 
0x07fa1874ad4655ad0c763a7876503509be11e29e,355.4900242748801,Validator Group,,351.1691941748801,4.320830099999999,0,351.16006401321573,4.1,0,2023-10-15 
0x71dcc67baeecd9308e341359f70b782d9c3565b8,336.25539599174317,Validator Group,,336.25539599174317,0,0,336.2466535787501,0,0,2023-10-15 
0x0f66619058bb9675f3d394fcc2ce236a29901571,258.50131945677686,Validator Group,,258.50131945677686,0,0,258.4945985972133,0,0,2023-10-15 
0x8eb004dad9397b8f23e1279905c584920000756d,249.10051349539563,Validator Group,,249.10051349539563,0,0,249.0940370504323,0,0,2023-10-15 
0x4d5a51039ea45063d4b665b21755db20a738dadc,222.79896523688572,Validator Group,,222.79896523688572,0,0,222.79317261439772,0,0,2023-10-15 
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,222.27783303102555,Validator Group,,222.27783303102555,0,0,222.27205395762263,0,0,2023-10-15 
0xb434feb47d6154b4b4058df5c9fced123db9abf6,180.17535770875222,Validator Group,,180.17535770875222,0,0,180.17067327124715,0,0,2023-10-15 
0xc64df5be250264bf2888591d87cdeb13bfadc501,155.94039204262617,Validator Group,,155.94039204262617,0,0,155.93633769784603,0,0,2023-10-15 
0x3d451dd723797b3de938c5b22412032b6452591a,115.08204974350906,Validator Group,,115.08204974350906,0,0,115.07905768800916,0,0,2023-10-15 
0xc7d5409fee80b3ac37dbc111664dc511a5982469,114.66212053474261,Validator Group,,114.66212053474261,0,0,114.65913939711828,0,0,2023-10-15 
