Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Date
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,437503.8935871762,437503.8935871762,0,0,442727.1889625565,0,0,2022-12-15 
0x35ae10f412503abcf9275133613e8df7f56e72be,122053.5089552138,122053.5089552138,0,0,123510.68805286146,0,0,2022-12-15 
0x602b65795bcc64b2fb329ac004236e194f077158,98557.69066108967,98557.69066108967,0,0,99734.35660025953,0,0,2022-12-15 
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,82432.63524579101,82432.63524579101,0,0,83416.78649283346,0,0,2022-12-15 
0x0e912990472bfe5948b5b7333ecf528d5da887cf,72182.57561391895,72182.57561391895,0,0,73044.35288930699,0,0,2022-12-15 
0xd19fb36b7f433fe13820767ef6d0e26fdbab68cc,60459.61124356377,60459.61124356377,0,0,61181.42975177521,0,0,2022-12-15 
0xc24baeac0fd189637112b7e33d22fff2730af993,59412.83662408717,59412.83662408717,0,0,60122.15784231075,0,0,2022-12-15 
0x69cd274c6acbc08f664ed7b2d54aab6615bc1d70,59042.73686228266,58941.21016228266,101.52669999999999,0,59644.900700750106,100,0,2022-12-15 
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,32310.244194966584,32310.244194966584,0,0,32695.991502715624,0,0,2022-12-15 
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,29463.210016173223,29463.210016173223,0,0,29814.966996801486,0,0,2022-12-15 
0x34649ada2cb44d851a2103feaa8922deddabfc1c,29031.047288485934,29031.047288485934,0,0,29377.644741141925,0,0,2022-12-15 
0x8a12cab622b8093208931fa008d12d6ba5af47e4,21709.868589229205,21709.868589229205,0,0,21969.059553845473,0,0,2022-12-15 
0xf83c93ea360b66ddcd532960304948b1c10786a1,19071.943177519788,19071.943177519788,0,0,19299.640334182473,0,0,2022-12-15 
0xc764293de02189e248a8040a3d1b04eec599aa31,17526.90257931052,17526.90257931052,0,0,17736.153720909813,0,0,2022-12-15 
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,16176.811368375054,16176.811368375054,0,0,16369.943967301275,0,0,2022-12-15 
0x614b7654ba0cc6000abe526779911b70c1f7125a,16035.245367712056,16035.245367712056,0,0,16226.687830739116,0,0,2022-12-15 
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,15795.40329188725,15795.40329188725,0,0,15983.982315242481,0,0,2022-12-15 
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,15757.56353117314,15757.56353117314,0,0,15945.690791126855,0,0,2022-12-15 
0x81383e7c8801b102f742f4f5a5fad06867212b05,15614.813387844004,15614.813387844004,0,0,15801.236374591434,0,0,2022-12-15 
0x5402172e972b31fc9f0383f53f45823ab5037379,14520.48561377525,14520.48561377525,0,0,14693.843580336055,0,0,2022-12-15 
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,13684.3928655791,13684.3928655791,0,0,13847.768842381518,0,0,2022-12-15 
0x7194dfe766a92308880a943fd70f31c8e7c50e66,11663.140885334862,11663.140885334862,0,0,11802.385428621741,0,0,2022-12-15 
0x81cef0668e15639d0b101bdc3067699309d73bed,11434.029900254798,11434.029900254798,0,0,11570.53912080202,0,0,2022-12-15 
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,10584.105201665543,10584.105201665543,0,0,10710.467294809709,0,0,2022-12-15 
0x7dbb949346aeda9233218831455d57eb8344af82,9843.49612854344,9843.49612854344,0,0,9961.016197643236,0,0,2022-12-15 
0x0d4f8cea48cdadeae345431577a64983c0535b12,9838.839687884874,9838.839687884874,0,0,9956.304164416662,0,0,2022-12-15 
0x47b2db6af05a55d42ed0f3731735f9479abf0673,8957.51782292406,8957.51782292406,0,0,9064.460325848419,0,0,2022-12-15 
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,6240.997762894741,6240.997762894741,0,0,6315.508127786365,0,0,2022-12-15 
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,5971.679018482231,5971.679018482231,0,0,6042.974026041468,0,0,2022-12-15 
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,5843.358318097873,5843.358318097873,0,0,5913.121323472198,0,0,2022-12-15 
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,5305.613640341492,5305.613640341492,0,0,5368.956590192584,0,0,2022-12-15 
0x3d451dd723797b3de938c5b22412032b6452591a,5237.255426665968,5237.255426665968,0,0,5299.782257742818,0,0,2022-12-15 
0x4a34787893c8e26411be77259fe7fa184d471d9a,4867.772782668638,4867.772782668638,0,0,4925.888414179123,0,0,2022-12-15 
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4074.552203270668,4074.552203270668,0,0,4123.197689612719,0,0,2022-12-15 
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,4026.5942619338534,4026.5942619338534,0,0,4074.66718538705,0,0,2022-12-15 
0x061e9958028dcaa66fd8b255ad95194203b6c4da,2629.2424503122143,2629.2424503122143,0,0,2660.632593652122,0,0,2022-12-15 
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,2622.0256973864266,2622.0256973864266,0,0,2653.329680962421,0,0,2022-12-15 
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,2523.2740537518303,2523.2740537518303,0,0,2553.3990558123037,0,0,2022-12-15 
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,2003.1819612770846,2003.1819612770846,0,0,2027.0976594634342,0,0,2022-12-15 
0x2af540161cbeb58fdc99b159c76e390598860510,1894.171601502627,1894.171601502627,0,0,1916.7858408530108,0,0,2022-12-15 
0x067e453918f2c44d937b05a7ee9dbfb804c54add,1892.751084732311,1892.751084732311,0,0,1915.3483647395076,0,0,2022-12-15 
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,1648.933884652119,1648.933884652119,0,0,1668.620266556958,0,0,2022-12-15 
0xd72ed2e3db984bac3bb351fe652200de527effcf,1612.883423514797,1612.883423514797,0,0,1632.1394042056147,0,0,2022-12-15 
0x8580db53c3ebc56230662b771cef2707e92ef83a,1132.497834127376,1132.497834127376,0,0,1146.018561111368,0,0,2022-12-15 
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,1089.2089158380973,1089.2089158380973,0,0,1102.2128227205544,0,0,2022-12-15 
0x0861a61bf679a30680510ecc238ee43b82c5e843,929.0291701987782,929.0291701987782,0,0,940.1207143871173,0,0,2022-12-15 
0x95ae59515915d6c493a846ae022f93726652b50a,914.2654330735362,914.2654330735362,0,0,925.1807151508864,0,0,2022-12-15 
0xb434feb47d6154b4b4058df5c9fced123db9abf6,815.2414062173989,815.2414062173989,0,0,824.9744548355487,0,0,2022-12-15 
0x0f66619058bb9675f3d394fcc2ce236a29901571,809.1519060540695,809.1519060540695,0,0,818.8122530151421,0,0,2022-12-15 
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,675.6813582104907,675.6813582104907,0,0,683.748219706589,0,0,2022-12-15 
0x71dcc67baeecd9308e341359f70b782d9c3565b8,631.2935222170049,631.2935222170049,0,0,638.8304437928732,0,0,2022-12-15 
0x81ae1c73a326325216e25ff1af9ea3871195036e,463.0359226741815,463.0359226741815,0,0,468.56404123264423,0,0,2022-12-15 
0x7e11e85faa97652623929c9677e442e219ce0bbd,451.4074445294425,451.4074445294425,0,0,456.7967323780386,0,0,2022-12-15 
0xc64df5be250264bf2888591d87cdeb13bfadc501,408.6792709106321,408.6792709106321,0,0,413.55843330678556,0,0,2022-12-15 
0xc7d5409fee80b3ac37dbc111664dc511a5982469,399.8113713994808,399.8113713994808,0,0,404.5846612327042,0,0,2022-12-15 
0xbb59448319755708d06dacaac017308129fffdbb,383.2990708492968,383.2990708492968,0,0,387.8752227270303,0,0,2022-12-15 
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,381.2680595314849,381.2680595314849,0,0,385.81996346039057,0,0,2022-12-15 
0x8eb004dad9397b8f23e1279905c584920000756d,297.1697803982911,297.1697803982911,0,0,300.71764719995616,0,0,2022-12-15 
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,269.1418066080319,269.1418066080319,0,0,272.3550515056961,0,0,2022-12-15 
0x4d5a51039ea45063d4b665b21755db20a738dadc,220.16465876389307,220.16465876389307,0,0,222.79317261439772,0,0,2022-12-15 
0xe92b7ba8497486e94bb59c51f595b590c4a5f894,185.9593313920782,185.9593313920782,0,0,188.17947281231793,0,0,2022-12-15 
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,108.31393275429915,108.31393275429915,0,0,109.6070770493271,0,0,2022-12-15 
0x07fa1874ad4655ad0c763a7876503509be11e29e,40.31525433482567,36.15265963482567,4.1625947,0,36.584280981849524,4.1,0,2022-12-15 
0x01b2b83fdf26afc3ca7062c35bc68c8dde56db04,0.39896791991057384,0.39896791991057384,0,0,0.4037311398991035,0,0,2022-12-15 
0xa1e923892df867fb5cb7575cca2538c394ad1bd9,0.3656018051803316,0.3656018051803316,0,0,0.36996667197630806,0,0,2022-12-15 
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,0.30441470211123545,0,0.30441470211123545,0,0,0.29983708926936015,0,2022-12-15 
0xbd630a811ed48a57efdf5f7869563b47a0194a5d,0.121548846,0.121548846,0,0,0.123,0,0,2022-12-15 
0xd491e5ec7bbb4c6ea9ee522f21f6621706e65a3e,0.07645623347772157,0.07645623347772157,0,0,0.07736903333298412,0,0,2022-12-15 
0xb36b0747312e444b6258120a7d3ba7b170e83476,0.009067391802401277,0.009067391802401277,0,0,0.009175646074791668,0,0,2022-12-15 
0x3fef91a3422f4da394c08f115632d3e075d0effd,0,0,0,0,0,0,0,2022-12-15 
0xacdf897493a6000dbe256791e8a2becbb405fd4f,0,0,0,0,0,0,0,2022-12-15 
0xe7f49fc3ebcb92b3c9bdaa859fc7f8fc84eadd70,0,0,0,0,0,0,0,2022-12-15 
0x0b04c6ca6f2ea2c57d51c28bb3e82b0c9b4072eb,0,0,0,0,0,0,0,2022-12-15 
0x44127722c6846f1da65c3806a86a8d85bf2a6db8,0,0,0,0,0,0,0,2022-12-15 
0xd018838832f6112de72ee6cc9967c56b333a0d1c,0,0,0,0,0,0,0,2022-12-15 
0xee6c0fa803099837690d440b3108d03763ab7550,0,0,0,0,0,0,0,2022-12-15 
0x3c86b6a27a074c1c4cc904d8808a1c33078db4e6,0,0,0,0,0,0,0,2022-12-15 
0x26e6b535a62d2ce81bc84dbfd836548a2fcb3104,0,0,0,0,0,0,0,2022-12-15 
0x6b0f422041a233a89697a0b7187fab69469baa76,0,0,0,0,0,0,0,2022-12-15 
0xb1dae25904f8ee7183ebef89459922215218b3bf,0,0,0,0,0,0,0,2022-12-15 
0xaf2b000baed202fa7de0d9dceb6f6612de348011,0,0,0,0,0,0,0,2022-12-15 
0x481eade762d6d0b49580189b78709c9347b395bf,0,0,0,0,0,0,0,2022-12-15 
0x82f8bcf96f24ba60ef041d192c7ce04c907e2fb8,0,0,0,0,0,0,0,2022-12-15 
0xd8457a4b949c1b7bc26538f54743aa61eeca38b6,0,0,0,0,0,0,0,2022-12-15 
0xfa592ae90e407da044602342625aaabbf5d50c22,0,0,0,0,0,0,0,2022-12-15 
0xa512cbe686eddb170219aa23ce6cb243fa2873cb,0,0,0,0,0,0,0,2022-12-15 
