block_time,block_number,release_gold_contract,beneficiary,tx_from,tx_hash
2024-02-14 22:40:37.000 UTC,24056041,0x0a3cbf90327c93054ddf210fd6d5fa2cdfc875d0,0x57900C1EC6F8B8B88A9EF16DF02D989002D3223F,0xf772f744f0152b6b85095a39f1d5541839710c6e,0x9537e0a6c5af2bce2abf3cc47c4c3672887a230024821c5c060cf5531c551d28
2024-02-14 22:40:12.000 UTC,24056036,0x1a81539281d80deb1c2a042225be8bd4071c9539,0x1D8B3CF47E1A79B4AB1E2DCD0313C695E480E407,0xf772f744f0152b6b85095a39f1d5541839710c6e,0xed01d1a1a8f54cd6d6d816eeb69c02781833702a1df2a6717b513573403bc23d
2024-02-14 22:31:52.000 UTC,24055936,0x007722fdfa83dc997623617a4617014c2452502b,0x16EB996CF593FE80372BDE518EA3E16B397B89E2,0x0a2b8c88952b57ca0a84928fa27339f9690ff134,0x5cbba22d420cf0aa1858dffcb592c10e5e104167db976ffb8f93c21a2718223d
2024-02-13 20:49:55.000 UTC,24037433,0x670e94d7a79361b8a9b5599301c0f44ae7139d34,0x1490A504E23FC4C622AA09A5432B8B8CAD210297,0x1490a504e23fc4c622aa09a5432b8b8cad210297,0xa10cd1a6e123596555ad292ca5e97a57a88851e5bc392b5a425ec56af1a7bc1d
2024-02-13 20:49:25.000 UTC,24037427,0x17650cbf3b536b4ad14cd3347eb830e27b9c4396,0xD2BF1847E3385DBEE3032646662690E29CDB52C9,0xd2bf1847e3385dbee3032646662690e29cdb52c9,0xcbffa42a5de23c4f3d97d4536424e78c8b5c65ee1799d60e59f1adbbabf616b5
2024-02-13 20:48:45.000 UTC,24037419,0xa65c5c32b58012d188f56e9305437fc545f99614,0x725B0AE5E10B58F7D8123199008DC9619DF65FB9,0x725b0ae5e10b58f7d8123199008dc9619df65fb9,0x7d2d3a2f1c8a081738bc5bc683175611ec80cc353fad5db2b063b53056507f59
2024-02-13 20:47:35.000 UTC,24037405,0xda71a321c75a0fe76073384bc52f6d583eaec517,0xC9232C3409A099E828FD3FEFF7322F59659D3234,0xc9232c3409a099e828fd3feff7322f59659d3234,0xf22346a549c4eb6ad0dfcd19885a2b49b33b261b4dc2a1d161fd10e6b45fcc74
2024-02-13 20:45:50.000 UTC,24037384,0xdd431a27adce5b957fe2fe877a65f0e6304d68a0,0xBD1DD0EB25B66F74D3609317CFD6E738FDE4386D,0xbd1dd0eb25b66f74d3609317cfd6e738fde4386d,0xbce5ad7f69f077adedd4afcea2cf8a1dad188ccdaf91322561cb9f69f8054d30
2024-02-13 20:43:30.000 UTC,24037356,0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,0xB42A436041FADB55D2F23D7F8E71785A65A0770E,0xb42a436041fadb55d2f23d7f8e71785a65a0770e,0x5f95a5c10b7e6bb7be4cc9ddbd2cf31640745efa6d8d0802ad498c84f1c525c6
2024-02-13 19:51:30.000 UTC,24036732,0x2edfe9e0c9ea37e9459da3b846e7f1bcce062494,0xEEAD2F99EF87768A714AA89D2E17A6CF5F686198,0xeead2f99ef87768a714aa89d2e17a6cf5f686198,0xb1a33f3571eb8dc70143b1ee800e7337ba7015b368666fab32c0c5453f083d6f
