Address,Average Total cStables in USD,Contract,Beneficiary,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,13303.80845660625,Validator Group,0xBcEdEd13006d981822f07db160D703157dEB112d,13303.80845660625,0,0,13378.869229610626,0,0
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,10879.85316528751,Validator Group,0xFb2D3069e3F36E04347174Cf01F6FBf43163DE6D,10879.85316528751,0,0,10915.97598182435,0,0
0x34649ada2cb44d851a2103feaa8922deddabfc1c,9375.422971244649,Validator Group,0x36305577C90f6aBa91Ae655D19f7E1a792e6d3DA,9375.422971244649,0,0,9434.455726261625,0,0
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,8395.569197515702,Validator Group,0xCbBDa4307091f287a6C4BbE641D5C84014ed70d5,8395.569197515702,0,0,8431.541401910656,0,0
0x4a34787893c8e26411be77259fe7fa184d471d9a,6602.094915435911,Validator Group,,6602.094915435911,0,0,6617.360983065582,0,0
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,6553.225723926188,Validator Group,0xb70f244E2a4C57fd10AA2B4Ea9BAf1e5A6fb175e,6553.225723926188,0,0,6593.994788949801,0,0
0x81cef0668e15639d0b101bdc3067699309d73bed,6542.594570316488,Validator Group,0x5863e292fbdccb8Bb3c8dD356C201a5e1524e419,6542.594570316488,0,0,6579.6208294247035,0,0
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,5487.922314561782,Validator Group,0x4d82BfC8823a4F3AF82B0AdE52ff3e2d74A04757,5487.922314561782,0,0,5515.116465404432,0,0
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,5358.071489313288,Validator Group,0x04aa0cad3c4AA363716b698601EF86cA24b66a8b,5358.071489313288,0,0,5377.076891705172,0,0
0x5e941e767c56364602043573cd55365e89489070,4876.880460958731,Validator Group,,4876.880460958731,0,0,4871.547803012561,0,0
0xf83c93ea360b66ddcd532960304948b1c10786a1,4842.695579366199,Validator Group,0x138976a2AE14ecC940F3D7E46C4a647c5dc2e3E8,4842.695579366199,0,0,4886.281918524295,0,0
0x0d4f8cea48cdadeae345431577a64983c0535b12,4816.7088384276685,Validator Group,0x351aEbCDeD9240aE77Dd0a3987e2110b15E0f038,4816.7088384276685,0,0,4836.91047853468,0,0
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,4602.691905326397,Validator Group,,4602.691905326397,0,0,4614.349390534424,0,0
0xd72ed2e3db984bac3bb351fe652200de527effcf,4532.266433675323,Validator Group,0xFD8cCe689A04E356AE13071C0c41Faf7552402Fb,4532.266433675323,0,0,4548.171758885737,0,0
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,4457.199454049708,Validator Group,0x1C5fecC60f4F288e82354111681b2A466340bca8,4457.199454049708,0,0,4466.373670219586,0,0
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,4190.709480986413,Validator Group,0x6765Eef948592F096dCEB289313372401B461Cdb,4190.709480986413,0,0,4254.202434774388,0,0
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4108.054215298193,Validator Group,0x23DB1E5DAA277D3B643AD9B44c8045CA21949bEf,4108.054215298193,0,0,4123.197689612718,0,0
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,3790.6002183873434,Validator Group,0x861d6466a08BF0E948c57B762DB0dE240E083672,3790.6002183873434,0,0,3810.053577928419,0,0
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,3655.481707857988,Validator Group,,3655.481707857988,0,0,3667.350855308753,0,0
