SAFE Address,Beneficiary,Allocation
0x00de5f6a023cb7fd2d448ce33bd484f6f2a60d70,0xB62635c51b714E256b18961A0357980311d88f63,529.869727146865
0x00de5f6a023cb7fd2d448ce33bd484f6f2a60d70,0xBbA146efa28b1140c04A949Ae3D4E76Fecfd0670,529.869727146865
0x00de5f6a023cb7fd2d448ce33bd484f6f2a60d70,0x93E35FBD816f7F027b5Dd871edca0914bafFe05F,529.869727146865
0x0160ce904de4849e138fc1fce42650ba5a7e3cdf,0x6dfBF05c934C7f472849C1922B21Fc598894ACE2,1276.3941983680886
0x0160ce904de4849e138fc1fce42650ba5a7e3cdf,0x637E7913b1072807355cFD6204cBe3E5F7C97E68,1276.3941983680886
0x0160ce904de4849e138fc1fce42650ba5a7e3cdf,0x82eE3E153F27acA823624a062633A9A85f238C22,1276.3941983680886
0x01c5e6ac3930a0c7e7922a92e1e3650fd64af387,0x6823A04a6Fd4148167567D5Ef6DccA1f34Db0494,181.96543356232633
0x01c5e6ac3930a0c7e7922a92e1e3650fd64af387,0x66582D24FEaD72555adaC681Cc621caCbB208324,181.96543356232633
0x01c5e6ac3930a0c7e7922a92e1e3650fd64af387,0x1D5096665E79585019c448259D944090F28702E3,181.96543356232633
0x01c5e6ac3930a0c7e7922a92e1e3650fd64af387,0x48bff8451c2A9C84D48789b36D00d50114a0A458,181.96543356232633
0x0243dae9087c67577c56ea7d32cc7de3d56234ed,0xDD305c97994EB973749F8dCBc1eD69C9855704D9,810.4100448281375
0x0243dae9087c67577c56ea7d32cc7de3d56234ed,0x94aC950965731f71FA1a1666Beb48216dbA73E09,810.4100448281375
0x0243dae9087c67577c56ea7d32cc7de3d56234ed,0xDEb250aDD368b74ebCCd59862D62fa4Fb57E09D4,810.4100448281375
0x036b140dcd641b6d44e22fc98125d00224ed40f3,0x287dC259899bC60c22CAeC4D6e29135161a54fb5,1067.5445672620717
0x075708559cc7898ccd481d1378670eb1d1832675,0x7A9e7a1fE90E483B4B60C569068912cbD9879D12,255.42539088419494
0x075708559cc7898ccd481d1378670eb1d1832675,0x0D22735DE6d34DC2ed5efDbC2f30D7Aa8e2B9F8e,255.42539088419494
0x075708559cc7898ccd481d1378670eb1d1832675,0xC0aC93ABb5539769Edac951D9EbD5BCbFB854b0f,255.42539088419494
