Address,Total cStables in USD,Contract,Beneficiary,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Date
0x685305ff7116bb13cdd140b371dddfe3f786a129,2964.861942105571,Validator,,2964.861942105571,0,0,3000.258997761157,0,0,2022-12-15 
0x6088e40ba11a8ef9af341595a611498fbf6a7294,10.879149094560454,Validator,,10.245900852765093,0.6310264226135727,0.0022218191817874183,10.368225173360399,0.6215374109604397,0.011805144903014514,2022-12-15 
0x909621ca0ac6c1494775bce3469e8c0e157fa469,8.885832629809322,Validator,,8.236469166551842,0.6476597862909075,0.0017036769665731125,8.334803174403454,0.6379206517013826,0.009052110821252294,2022-12-15 
0x535f03cd6a8c79a17b9322274f655cd7379cb270,8.325065805352347,Validator,,7.693776232695173,0.6299437714203445,0.0013458012368290106,7.785631108513414,0.6204710400518726,0.007150617269692252,2022-12-15 
0xe3b1e1647bece359c76582550f6e210999973b50,8.263386382885853,Validator,,7.639210275874551,0.6224600363187675,0.0017160706925347631,7.730413696667838,0.6130998410455255,0.00911796214347728,2022-12-15 
0x63b4b616c5345e3dcc9e21db69297e2129447f4e,8.262226101209036,Validator,,7.627100750494375,0.6330039526144061,0.0021213981002556953,7.718159597424792,0.623485204004864,0.011271579692795327,2022-12-15 
0x89457b24524c94f97c0cc03f794c3e80b3dfd30b,8.234631729317814,Validator,,7.566460761135269,0.6643545095068392,0.0038164586757051004,7.656795636049379,0.6543643292915452,0.02027790922518748,2022-12-15 
0x82f0e7879314516952f7961b15c63fc6b2734dfb,8.19702433426912,Validator,,7.560158271541449,0.6343223628174157,0.0025436999102556087,7.650417901948639,0.6247837887151023,0.013515386975007941,2022-12-15 
0x794e6c182bfdf9a79b472f706dbb01876e53e5bd,8.18687066814667,Validator,,7.516378683917855,0.6673578460185066,0.003134138210308737,7.606115636193668,0.6573225033597139,0.01665255031645021,2022-12-15 
0x4a03c4c2e101ac4612d89b79f61c9c5bdd51929d,8.116323770170846,Validator,,7.465950955272265,0.6466237057185997,0.0037491091799810626,7.555085858227635,0.6369001511115793,0.019920062572910582,2022-12-15 
0x8234915fe3b271acb26f37dd04e72cb2f7eb435c,8.088523478629217,Validator,,7.441487340944254,0.6455692032584399,0.0014669344265230222,7.530330176365008,0.6358615056516561,0.007794231686483696,2022-12-15 
0x9e64ca737d74645c41fc9b021eb873694759435c,8.057379514907026,Validator,,7.436527816564649,0.6191709509685428,0.0016807473738339907,7.525311440944916,0.6098602150651433,0.00893027950074192,2022-12-15 
0x4b64995254836fa1d104a85df94e0401689e587a,8.056536537401112,Validator,,7.424363709557701,0.6300167455586888,0.0021560822847225144,7.513002108432993,0.6205429168471829,0.011455866437112786,2022-12-15 
0xdff75a3b93fd9ead6922ca5269c2db0a104d3d05,8.048651604286261,Validator,,7.377454655945964,0.6685220748621469,0.0026748734781518726,7.46553301445045,0.6584692252010033,0.01421234872110964,2022-12-15 
0xbe685bdede8f4676668702ac21c8231463c8f2bc,8.027994722508089,Validator,,7.399927536729855,0.6259949580984403,0.002072227679793759,7.488274195690613,0.6165816067088169,0.01101032353691484,2022-12-15 
0x65fdaca7c773585a7f8718f0f06fb0974c52e52a,8.014319261798983,Validator,,7.419665162954727,0.5919791253541982,0.00267497349005744,7.508247466565264,0.5830772844524624,0.014212880112253856,2022-12-15 
0xa3ba418dbd6e2f2a0edebae256f988fcc92b8e86,8.008971843333798,Validator,,7.400875631944995,0.6054676636596785,0.0026285477291240963,7.489233610076679,0.5963629898929824,0.01396620709784144,2022-12-15 
0xb2625af7898f3f3c03959e8c5a2da25740cf32da,7.98376733042585,Validator,,7.300325407906116,0.6824121799299989,0.001029742589734239,7.387482931532334,0.6721504588743641,0.00547130953961726,2022-12-15 
0xd8c68ebecb6f074ac5c4fb66a690ac0ad38a5a3c,7.973957916910355,Validator,,7.309922342130248,0.6615089511124442,0.0025266236676627224,7.397194442158837,0.6515615607642564,0.01342465613612578,2022-12-15 
0xffbcf262c1d5c4392ef469ba79f2cd195d2affda,7.969389952655355,Validator,,7.291550793443224,0.6750246667668728,0.0028144924452588914,7.378603558223141,0.6648740348764146,0.014954183228354108,2022-12-15 
0xdc28d9d983e60a998dcedaa3b1b7ebb78301ef41,7.964296482357088,Validator,,7.319800880163039,0.642993045508424,0.001502556685623958,7.407190918620929,0.6333240866771244,0.007983502682929485,2022-12-15 
0x6ce2bf81eb8712685094a88fe0ab36355cc77c32,7.9626893531813225,Validator,,7.290636961262041,0.6691736932712022,0.002878698648079458,7.377678815932411,0.6591110449479815,0.015295328688876848,2022-12-15 
0xe10a8cc6c22cdc320c67bd600a1d8a0a46d7f400,7.957306533820887,Validator,,7.267791361359719,0.6865518416900844,0.0029633307710837894,7.354560465734454,0.6762278707867827,0.01574500275943381,2022-12-15 
0x9778c47192e8875efb2da2f31081faae574f96e2,7.94245004283086,Validator,,7.262119468828446,0.6776026506910237,0.002727923311390135,7.348820857302905,0.6674132525641272,0.014494217278907684,2022-12-15 
0x157fff3d901f41b5ca9f5ec5f785677a72951030,7.939644055584078,Validator,,7.252245682047077,0.6843480179986942,0.0030503555383073816,7.338829188816737,0.6740571869258966,0.0162073896159552,2022-12-15 
0x25239ab5b49f93f7cccd0ebeb1b36ff8639e31b5,7.92198856938924,Validator,,7.326115665825856,0.5930120563509144,0.0028608472124694857,7.413581095591646,0.5840946828281767,0.01520047903331981,2022-12-15 
