Address,Total Volume in USD,cUSD Volume in USD,cEUR Volume in USD,cREAL Volume in USD,Contract,cUSD Volume,cEUR Volume,cREAL Volume
0x67316300f17f063085ca8bca4bd3f7a5a3c66275,115771273.55363029,115771273.55363029,,,Exchange, Exchange,116165133.01482499,,
0x1e32760a3285550278aeafa776e5641bc581c845,58747508.316984154,44182506.57350217,14565001.743481986,,,44332817.59366391,13662436.148891712,
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,56067950.340835705,56067950.340835705,,,StableSwap, cUSD_USDCet,56258696.21443363,,
0xe383394b913d7302c49f794c7d3243c429d53d1d,52904597.336689465,,52904597.336689465,,ExchangeEUR, ExchangeEUR,,49626199.55873404,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,51805774.67732377,20936472.9011494,30869301.77617437,,,21007699.792614352,28956389.56353644,
0xa7cbd42ee1d9832ac6d15c04be4e88340dd3951f,43384992.25039107,31952820.58880834,10534566.133739164,897605.5278435692,unverified,32061525.626893014,9881759.006510094,4496019.046927005
0x918146359264c492bd6934071c6bd31c854edbc3,42877450.45794743,42877450.45794743,,,ATokenV4,43023321.61420578,,
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,39444085.45357569,13623399.394396326,25820686.059179366,,,13669746.85677119,24220627.008300003,
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,39073305.688418984,19959308.87088686,19113996.817532126,,Pair,20027211.403150737,17929538.60692238,
0x769e4e225da686986d8ddc8bcd4fa8d3bf046a60,38006562.01501143,16353958.131015584,21652603.88399585,,,16409595.08602324,20310832.997649606,
0x883feb1b9862e0c8559d26f53bf19264c5e0839f,34450923.784778416,34283959.13131877,166964.65345964825,,unverified,34400594.815254875,156618.16985604653,
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,29316117.12440602,29316117.12440602,,,Gnosis Safe,29415851.97002461,,
0x6914ba1c49d3c3f32a9e65a0661d7656cb292e9f,27287713.578523144,15332090.286291173,11895590.272573316,60033.01965865388,unverified,15384250.797562992,11158443.055122953,300699.5739857897
0x1dc3d671890ddfb3ca622d979467109930440e36,25618465.79691756,,25618465.79691756,,,,24030937.952999998,
0xadd7c542667728e6b91dc091a6def2489f2de35c,24164889.25114302,24059396.57746498,105492.67367803998,,,24141247.806027994,98955.49232921196,
0xf9ce7198ebfe65ab83f4dcc87e9568d26fced832,23579658.317292795,9806141.548758887,13773516.768533906,,,9839502.51567443,12919998,
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,22521795.210542604,13951789.297618324,8570005.912924279,,,13999253.95829614,8038938.86475848,
0x2478709280e8539da2527534f74f46ce053ae093,21506352.214915443,17455330.036875818,4051022.1780396267,,,17514713.91227315,3799988,
0xb048b49011f971b7c9e6bae8c8d1cbc26d5d2941,21339924.574930906,21339924.574930906,,,,21412524.028465673,,
0x1774c494c62d52837c0d2cfd24c535e76a0fcbcc,20367314.762998186,18372459.60579151,1915656.701165161,79198.45604151428,unverified,18434963.6002544,1796947.0806673998,396697.3863288362
0xd533ca259b330c7a88f74e000a3faea2d63b7972,19858596.17818079,19858551.794661988,44.12789313782115,0.2556256662075808,Governance,19926111.54648876,41.393371109646495,1.2804041736616654
0x7a383001df1826ee82be872fbc68a460387fd298,16516426.408352414,9858207.26369352,6636930.427880145,21288.716778749753,unverified,9891745.360684613,6225652.409285012,106633.1179486387
0x4c9c42dcc8062528d87266be769bc21d9a26bdcc,16239289.377124205,16239289.377124205,,,,16294536.223495778,,
0xd04ce1a37798ff25104b1de4e065c586b08d48e8,16218423.083648495,7219001.459219743,8999421.624428753,,,7243560.850663033,8441744.497266302,
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,16154722.113082604,16154722.113082604,,,StableSwap,16209681.257539637,,
